sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Speed
0,-115.0,-977.0,-25.0,75.0,-33.0,50.0,0.36
1,-117.0,-960.0,-11.0,67.0,-30.0,30.0,0.36
2,-117.0,-955.0,-4.0,40.0,-28.0,6.0,0.36
3,-110.0,-970.0,-14.0,4.0,-27.0,-16.0,0.36
4,-109.0,-986.0,-25.0,-21.0,-26.0,-31.0,0.36
5,-108.0,-993.0,-33.0,-30.0,-27.0,-42.0,0.36
6,-106.0,-994.0,-33.0,-35.0,-27.0,-52.0,0.36
7,-103.0,-986.0,-33.0,-36.0,-28.0,-60.0,0.36
8,-99.0,-979.0,-29.0,-41.0,-28.0,-66.0,0.36
9,-95.0,-993.0,-44.0,101.0,-43.0,22.0,0.36
10,-89.0,-968.0,-11.0,134.0,-25.0,-20.0,0.36
11,-89.0,-978.0,-15.0,117.0,-26.0,-13.0,0.36
12,-90.0,-981.0,-18.0,108.0,-24.0,-9.0,0.36
13,-98.0,-985.0,-17.0,101.0,-24.0,-6.0,0.36
14,-103.0,-979.0,-9.0,90.0,-25.0,-11.0,0.36
15,-94.0,-982.0,-13.0,71.0,-28.0,-21.0,0.36
16,-101.0,-979.0,-7.0,54.0,-28.0,-27.0,0.36
17,-91.0,-989.0,-11.0,32.0,-32.0,-34.0,0.36
18,-90.0,-1008.0,-21.0,18.0,-33.0,-32.0,0.36
19,-80.0,-1028.0,-33.0,15.0,-36.0,-24.0,0.36
20,-90.0,-1015.0,-28.0,24.0,-37.0,-7.0,0.36
21,-100.0,-994.0,-19.0,27.0,-42.0,-1.0,0.36
22,-757.0,-1851.0,-466.0,1439.0,243.0,-805.0,0.36
23,-85.0,-1886.0,-351.0,1953.0,-193.0,-306.0,0.36
24,194.0,-1788.0,-358.0,2237.0,-185.0,-459.0,0.36
25,241.0,-1184.0,-577.0,2412.0,0.0,-508.0,0.36
26,-156.0,-80.0,-1294.0,2251.0,88.0,-272.0,0.36
27,-607.0,122.0,-1327.0,1511.0,-196.0,-85.0,0.36
28,118.0,469.0,-1520.0,771.0,-712.0,-371.0,0.36
29,56.0,23.0,-1679.0,-51.0,-833.0,-64.0,0.36
30,558.0,-210.0,-1610.0,-501.0,-1033.0,305.0,0.36
31,921.0,30.0,-1529.0,-692.0,-813.0,64.0,0.36
32,631.0,-134.0,-1482.0,-1042.0,-310.0,-47.0,0.36
33,308.0,-334.0,-1265.0,-1481.0,300.0,424.0,0.36
34,0.0,-1792.0,-200.0,-2867.0,-713.0,-465.0,0.36
35,-29.0,-1769.0,-147.0,-2717.0,-734.0,-500.0,0.36
36,-25.0,-1711.0,-102.0,-2548.0,-764.0,-527.0,0.36
37,3.0,-1630.0,-79.0,-2388.0,-769.0,-511.0,0.36
38,36.0,-1522.0,-83.0,-2250.0,-726.0,-473.0,0.36
39,138.0,-1432.0,-79.0,-2151.0,-647.0,-399.0,0.36
40,261.0,-1408.0,-85.0,-2071.0,-506.0,-289.0,0.0
41,335.0,-1370.0,-118.0,-1959.0,-293.0,-199.0,0.0
42,368.0,-1266.0,-139.0,-1841.0,-53.0,-142.0,0.0
43,315.0,-1195.0,-147.0,-1772.0,189.0,-123.0,0.0
44,214.0,-1229.0,-139.0,-1724.0,399.0,-134.0,0.0
45,76.0,-1213.0,-112.0,-1637.0,551.0,-142.0,0.0
46,-21.0,-1156.0,-74.0,-1543.0,631.0,-145.0,0.0
47,-118.0,-1107.0,-81.0,-1465.0,668.0,-133.0,0.0
48,-127.0,-1028.0,-80.0,-1399.0,649.0,-72.0,0.0
49,-113.0,-950.0,-102.0,-1345.0,608.0,9.0,0.0
50,-40.0,-886.0,383.0,-456.0,144.0,142.0,0.0
51,-80.0,-815.0,388.0,-335.0,220.0,156.0,0.0
52,-99.0,-847.0,410.0,-272.0,280.0,199.0,0.0
53,-106.0,-924.0,453.0,-200.0,324.0,281.0,0.0
54,-136.0,-1057.0,512.0,-81.0,362.0,344.0,0.0
55,-227.0,-1161.0,578.0,114.0,373.0,396.0,0.0
56,-325.0,-1196.0,641.0,358.0,308.0,447.0,0.0
57,-430.0,-1282.0,725.0,597.0,160.0,436.0,0.0
58,-570.0,-1458.0,821.0,849.0,-69.0,353.0,0.0
59,-716.0,-1679.0,928.0,1176.0,-388.0,241.0,0.0
60,-823.0,-1791.0,1038.0,1586.0,-787.0,175.0,0.0
61,-808.0,-1783.0,1127.0,1980.0,-1233.0,169.0,0.0
62,-736.0,-1929.0,1140.0,2281.0,-1650.0,159.0,0.0
63,-693.0,-1959.0,1007.0,2643.0,-2003.0,181.0,0.0
64,-500.0,-1959.0,715.0,3112.0,-2347.0,329.0,0.0
65,-207.0,1028.0,-122.0,1945.0,-589.0,-1495.0,0.0
66,9.0,-848.0,-45.0,2094.0,-181.0,-231.0,0.0
67,28.0,-777.0,80.0,1907.0,-186.0,-108.0,0.0
68,-65.0,-858.0,55.0,1642.0,-114.0,-34.0,0.0
69,-75.0,-902.0,-13.0,1438.0,-101.0,-16.0,0.0
70,-64.0,-817.0,66.0,1294.0,-147.0,22.0,0.0
71,66.0,-747.0,172.0,1052.0,-159.0,84.0,0.0
72,-85.0,-864.0,116.0,721.0,-78.0,187.0,0.0
73,-112.0,-1019.0,-40.0,509.0,-84.0,201.0,0.0
74,-97.0,-995.0,-52.0,485.0,-85.0,162.0,0.0
75,-69.0,-975.0,-30.0,402.0,-64.0,144.0,0.0
76,-86.0,-981.0,-26.0,384.0,-51.0,147.0,0.0
77,-73.0,-964.0,-16.0,363.0,-50.0,148.0,0.0
78,-75.0,-945.0,0.0,328.0,-46.0,156.0,0.0
79,-85.0,-966.0,-9.0,279.0,-41.0,159.0,0.0
80,-88.0,-978.0,-16.0,248.0,-38.0,159.0,0.0
81,-95.0,-964.0,-1.0,229.0,-36.0,158.0,0.0
82,-110.0,-965.0,7.0,194.0,-34.0,146.0,0.0
83,-120.0,-983.0,-1.0,150.0,-30.0,117.0,0.0
84,-116.0,-1011.0,-27.0,121.0,-32.0,81.0,0.0
85,-115.0,-1002.0,-25.0,122.0,-32.0,52.0,0.0
86,-108.0,-978.0,-8.0,130.0,-33.0,13.0,0.0
87,-94.0,-976.0,17.0,190.0,-57.0,40.0,0.0
88,-89.0,-971.0,20.0,180.0,-55.0,35.0,0.0
89,-89.0,-972.0,21.0,170.0,-55.0,35.0,0.51
90,-89.0,-973.0,20.0,160.0,-53.0,37.0,0.51
91,-92.0,-983.0,22.0,156.0,-51.0,39.0,0.51
92,-91.0,-989.0,18.0,157.0,-53.0,39.0,0.51
93,-98.0,-994.0,18.0,158.0,-52.0,39.0,0.51
94,-96.0,-997.0,18.0,162.0,-53.0,32.0,0.51
95,-85.0,-1007.0,14.0,167.0,-55.0,33.0,0.51
96,-94.0,-1009.0,19.0,178.0,-54.0,43.0,0.51
97,-94.0,-1020.0,14.0,191.0,-55.0,51.0,0.51
98,-77.0,-1036.0,8.0,228.0,-61.0,87.0,0.51
99,-454.0,-1873.0,-135.0,1200.0,57.0,-19.0,0.51
100,260.0,-1643.0,-808.0,5225.0,541.0,-1837.0,0.51
101,242.0,-808.0,-1225.0,5001.0,558.0,-1148.0,0.51
102,1527.0,1259.0,-1865.0,4435.0,517.0,-799.0,0.51
103,1028.0,1455.0,-1170.0,2229.0,1206.0,-206.0,0.51
104,296.0,-496.0,-1837.0,121.0,1891.0,328.0,0.51
105,311.0,-504.0,-1644.0,-51.0,1912.0,556.0,0.51
106,95.0,265.0,-1573.0,-32.0,1953.0,454.0,0.51
107,-454.0,800.0,-1481.0,-531.0,1894.0,138.0,0.51
108,-759.0,333.0,-1464.0,-1369.0,1460.0,76.0,0.51
109,-664.0,150.0,-1346.0,-1919.0,834.0,175.0,0.51
110,103.0,-1227.0,-587.0,-4350.0,242.0,-235.0,0.51
111,-29.0,-1427.0,-485.0,-4406.0,289.0,-448.0,0.51
112,-93.0,-1638.0,-460.0,-4447.0,251.0,-624.0,0.51
113,-75.0,-1800.0,-446.0,-4465.0,166.0,-680.0,0.51
114,-157.0,-1959.0,-258.0,-4691.0,-219.0,-830.0,0.51
115,657.0,-1959.0,945.0,-2394.0,421.0,-1174.0,0.51
116,302.0,-1931.0,1104.0,-2079.0,858.0,-1297.0,0.51
117,-138.0,-1815.0,1246.0,-1788.0,1172.0,-1244.0,0.51
118,-608.0,-910.0,574.0,173.0,321.0,740.0,0.51
119,-583.0,-619.0,322.0,243.0,-21.0,660.0,0.51
120,-499.0,-472.0,122.0,154.0,-414.0,570.0,0.51
121,-131.0,-378.0,31.0,-176.0,-1083.0,363.0,0.51
122,280.0,89.0,-898.0,1482.0,-1354.0,-136.0,0.51
123,531.0,-108.0,-191.0,-1038.0,-144.0,-1985.0,0.51
124,1530.0,-398.0,-1851.0,615.0,-779.0,83.0,0.51
125,-799.0,-1496.0,-1157.0,4037.0,-408.0,2999.0,0.51
126,251.0,-924.0,-61.0,5237.0,-2492.0,174.0,0.61
127,295.0,-365.0,-240.0,4971.0,-1190.0,-242.0,0.61
128,47.0,-197.0,188.0,4392.0,-379.0,-278.0,0.61
129,207.0,-715.0,105.0,3473.0,336.0,-454.0,0.61
130,-329.0,-1093.0,-151.0,2904.0,797.0,-390.0,0.61
131,-91.0,-958.0,-116.0,2680.0,374.0,-424.0,0.61
132,120.0,-850.0,-28.0,2194.0,-398.0,60.0,0.61
133,-83.0,-1022.0,-38.0,130.0,-39.0,-41.0,0.61
