sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,31.0,-1280.0,203.0,-1677.0,23.0,589.0
1,26.0,-1246.0,228.0,-1583.0,4.0,569.0
2,44.0,-1156.0,272.0,-1384.0,-45.0,601.0
3,-70.0,-1207.0,470.0,1520.0,757.0,-58.0
4,-126.0,-1243.0,427.0,1616.0,745.0,-4.0
5,-154.0,-1286.0,374.0,1732.0,691.0,71.0
6,-147.0,-1346.0,326.0,1885.0,634.0,206.0
7,-179.0,-1282.0,287.0,2065.0,599.0,358.0
8,-207.0,-1212.0,237.0,2186.0,545.0,489.0
9,-228.0,-1170.0,160.0,2227.0,471.0,555.0
10,-284.0,-1219.0,71.0,2224.0,374.0,543.0
11,-30.0,656.0,-1797.0,1994.0,2059.0,-3315.0
12,-16.0,-892.0,102.0,83.0,-49.0,91.0
13,-26.0,-886.0,94.0,12.0,-53.0,42.0
14,-43.0,-975.0,60.0,-33.0,-68.0,6.0
15,-93.0,-1073.0,8.0,-39.0,-62.0,-89.0
16,22.0,-974.0,56.0,3.0,-65.0,-214.0
17,130.0,-961.0,49.0,-10.0,-67.0,-212.0
18,127.0,-987.0,20.0,-24.0,-55.0,-93.0
19,92.0,-968.0,40.0,-14.0,-43.0,25.0
20,82.0,-943.0,57.0,-22.0,-37.0,110.0
21,36.0,-973.0,53.0,-53.0,-31.0,177.0
22,17.0,-1006.0,24.0,-64.0,-32.0,209.0
23,-14.0,-994.0,43.0,-52.0,-42.0,207.0
24,-14.0,-982.0,41.0,-24.0,-41.0,53.0
25,0.0,-995.0,23.0,-31.0,-47.0,40.0
26,2.0,-980.0,37.0,-24.0,-45.0,35.0
27,2.0,-999.0,26.0,-29.0,-46.0,35.0
28,-3.0,-1014.0,14.0,-22.0,-44.0,35.0
29,-10.0,-1016.0,15.0,-1.0,-42.0,24.0
30,-16.0,-1031.0,6.0,22.0,-42.0,4.0
31,-18.0,-1027.0,8.0,53.0,-42.0,-22.0
32,-9.0,-1010.0,14.0,84.0,-42.0,-52.0
33,-3.0,-983.0,31.0,105.0,-42.0,-70.0
34,7.0,-971.0,41.0,108.0,-44.0,-75.0
35,4.0,-1000.0,31.0,100.0,-44.0,-61.0
36,16.0,-972.0,51.0,149.0,-47.0,-155.0
37,46.0,-970.0,62.0,95.0,-32.0,-111.0
38,47.0,-964.0,71.0,78.0,-26.0,-89.0
