sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Speed
0,-126.0,-975.0,49.0,10.0,-8.0,-23.0,0.0
1,-125.0,-976.0,50.0,9.0,-9.0,-25.0,0.0
2,-120.0,-977.0,46.0,10.0,-10.0,-13.0,0.0
3,-119.0,-972.0,44.0,-20.0,-13.0,-37.0,0.0
4,-119.0,-971.0,45.0,-20.0,-13.0,-31.0,0.0
5,-123.0,-972.0,41.0,-20.0,-12.0,-25.0,0.0
6,-121.0,-974.0,40.0,-18.0,-12.0,-22.0,0.0
7,-122.0,-979.0,38.0,-14.0,-12.0,-18.0,0.0
8,-119.0,-980.0,37.0,-6.0,-13.0,-13.0,0.0
9,-120.0,-978.0,36.0,4.0,-13.0,-6.0,0.0
10,-123.0,-973.0,39.0,14.0,-12.0,1.0,0.0
11,-124.0,-978.0,37.0,19.0,-13.0,4.0,0.0
12,-122.0,-977.0,38.0,28.0,-13.0,7.0,0.0
13,-122.0,-976.0,40.0,35.0,-13.0,11.0,0.0
14,-121.0,-978.0,38.0,48.0,-14.0,19.0,0.0
15,-131.0,-966.0,48.0,33.0,-12.0,16.0,0.0
16,-131.0,-967.0,48.0,29.0,-11.0,15.0,0.0
17,-131.0,-968.0,47.0,27.0,-11.0,16.0,0.0
18,-121.0,-976.0,46.0,23.0,-12.0,16.0,0.0
19,-155.0,-954.0,53.0,24.0,-6.0,17.0,0.0
20,-139.0,-970.0,45.0,6.0,-12.0,-9.0,0.0
21,-134.0,-978.0,43.0,7.0,-12.0,-14.0,0.0
22,-129.0,-980.0,42.0,10.0,-12.0,-15.0,0.0
23,-130.0,-973.0,44.0,17.0,-11.0,-10.0,0.0
24,-151.0,-965.0,46.0,2.0,4.0,-6.0,0.0
25,-132.0,-970.0,41.0,2.0,-2.0,-4.0,0.0
26,-134.0,-970.0,43.0,4.0,-1.0,-6.0,0.0
27,-143.0,-966.0,44.0,6.0,-1.0,-5.0,0.0
28,-143.0,-967.0,43.0,5.0,-3.0,-6.0,0.0
29,-143.0,-965.0,44.0,5.0,-4.0,-10.0,0.0
30,-148.0,-965.0,44.0,5.0,-6.0,-11.0,0.0
31,-146.0,-964.0,45.0,2.0,-8.0,-16.0,0.0
32,-145.0,-970.0,41.0,-1.0,-10.0,-21.0,0.0
33,-136.0,-971.0,40.0,4.0,-11.0,-31.0,0.0
34,-138.0,-964.0,43.0,26.0,-8.0,-20.0,0.0
35,-120.0,-985.0,40.0,93.0,-8.0,30.0,0.0
36,-131.0,-976.0,45.0,100.0,-7.0,49.0,0.0
37,-134.0,-978.0,44.0,103.0,-6.0,58.0,0.0
38,-116.0,-980.0,47.0,106.0,-6.0,62.0,0.0
39,-79.0,-982.0,45.0,112.0,1.0,72.0,0.0
40,-46.0,-987.0,35.0,115.0,20.0,87.0,0.0
41,-126.0,-1006.0,43.0,122.0,51.0,94.0,0.0
42,-57.0,-1018.0,35.0,131.0,55.0,108.0,0.0
43,-6.0,-1056.0,21.0,145.0,73.0,166.0,0.0
44,16.0,-1055.0,21.0,183.0,102.0,260.0,0.0
45,1.0,-1029.0,37.0,221.0,143.0,347.0,0.0
46,-10.0,-1005.0,51.0,257.0,226.0,443.0,0.0
47,-398.0,-827.0,66.0,139.0,979.0,-181.0,0.0
48,-547.0,-808.0,72.0,91.0,897.0,-146.0,0.0
49,-746.0,-829.0,68.0,36.0,769.0,-113.0,0.0
50,-869.0,-768.0,70.0,-10.0,568.0,-87.0,0.0
51,-874.0,-809.0,78.0,-76.0,322.0,-82.0,0.0
52,-662.0,-813.0,86.0,-135.0,88.0,-159.0,0.0
53,-300.0,-873.0,87.0,-197.0,-44.0,-334.0,0.0
54,-174.0,-936.0,68.0,-244.0,-42.0,-494.0,0.0
55,-153.0,-967.0,51.0,-264.0,-26.0,-549.0,0.0
56,-134.0,-1028.0,32.0,-253.0,-21.0,-558.0,0.0
57,-76.0,-1120.0,14.0,-217.0,-21.0,-522.0,0.0
58,-17.0,-1092.0,20.0,-129.0,-13.0,-351.0,0.0
59,-139.0,-964.0,40.0,17.0,-8.0,-43.0,0.0
60,-131.0,-966.0,40.0,16.0,-8.0,-49.0,0.0
61,-126.0,-968.0,39.0,17.0,-9.0,-45.0,0.0
62,-125.0,-968.0,39.0,20.0,-8.0,-37.0,0.0
63,-127.0,-973.0,38.0,21.0,-9.0,-28.0,0.0
64,-127.0,-979.0,35.0,24.0,-9.0,-21.0,0.0
65,-127.0,-973.0,40.0,29.0,-9.0,-14.0,0.0
66,-128.0,-972.0,38.0,30.0,-9.0,-7.0,0.0
67,-131.0,-975.0,38.0,30.0,-9.0,-3.0,0.0
68,-134.0,-974.0,38.0,32.0,-9.0,0.0,0.0
69,-134.0,-976.0,38.0,33.0,-9.0,0.0,0.0
70,-134.0,-973.0,40.0,36.0,-9.0,-3.0,0.0
71,-130.0,-970.0,40.0,24.0,-9.0,-12.0,0.0
72,-135.0,-970.0,40.0,23.0,-9.0,-10.0,0.0
73,-133.0,-967.0,40.0,24.0,-9.0,-9.0,0.0
74,-138.0,-966.0,42.0,22.0,-8.0,-9.0,0.0
75,-137.0,-965.0,41.0,20.0,-9.0,-11.0,0.0
