sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,57.0,-989.0,83.0,36.0,-39.0,-10.0
1,57.0,-992.0,81.0,39.0,-39.0,-11.0
2,57.0,-989.0,84.0,43.0,-40.0,-12.0
3,59.0,-986.0,85.0,44.0,-40.0,-12.0
4,59.0,-989.0,83.0,44.0,-40.0,-10.0
5,56.0,-988.0,84.0,46.0,-40.0,-10.0
6,59.0,-984.0,87.0,47.0,-40.0,-14.0
7,63.0,-983.0,89.0,41.0,-38.0,-16.0
8,61.0,-984.0,91.0,39.0,-35.0,-14.0
9,64.0,-984.0,90.0,39.0,-36.0,-13.0
10,63.0,-986.0,90.0,37.0,-35.0,-11.0
11,62.0,-988.0,89.0,35.0,-36.0,-11.0
12,60.0,-985.0,91.0,37.0,-35.0,-11.0
13,61.0,-984.0,91.0,36.0,-36.0,-12.0
14,63.0,-983.0,90.0,35.0,-36.0,-12.0
15,65.0,-981.0,91.0,34.0,-36.0,-12.0
16,62.0,-983.0,91.0,34.0,-38.0,-10.0
17,65.0,-983.0,88.0,35.0,-38.0,-10.0
18,59.0,-991.0,88.0,38.0,-37.0,-9.0
19,70.0,-981.0,98.0,61.0,-37.0,-35.0
20,68.0,-982.0,98.0,57.0,-36.0,-28.0
21,72.0,-984.0,96.0,55.0,-35.0,-26.0
22,63.0,-982.0,100.0,50.0,-32.0,-23.0
23,70.0,-985.0,97.0,46.0,-33.0,-21.0
24,76.0,-983.0,98.0,43.0,-32.0,-16.0
25,68.0,-994.0,95.0,36.0,-29.0,-8.0
26,63.0,-998.0,94.0,37.0,-26.0,-8.0
27,67.0,-997.0,92.0,42.0,-27.0,-12.0
28,89.0,-959.0,108.0,25.0,-21.0,21.0
29,127.0,-1523.0,-22.0,233.0,93.0,-123.0
30,158.0,-1347.0,-5.0,482.0,126.0,-215.0
31,1077.0,-1202.0,-254.0,563.0,162.0,-556.0
32,631.0,-1673.0,-103.0,514.0,629.0,-896.0
33,105.0,-1128.0,-53.0,762.0,827.0,-678.0
34,153.0,-1408.0,-63.0,764.0,764.0,-535.0
35,184.0,-1205.0,-109.0,887.0,786.0,-559.0
36,219.0,-992.0,-57.0,896.0,861.0,-684.0
37,256.0,-1035.0,-102.0,768.0,978.0,-905.0
38,66.0,-850.0,-184.0,680.0,1109.0,-1019.0
39,-226.0,-713.0,-294.0,562.0,1143.0,-884.0
40,-322.0,-702.0,-447.0,399.0,908.0,-442.0
41,93.0,-845.0,-140.0,-907.0,236.0,92.0
42,-43.0,-1143.0,113.0,-1189.0,643.0,348.0
43,-76.0,-1172.0,133.0,-1150.0,603.0,272.0
44,-127.0,-1135.0,155.0,-1089.0,549.0,227.0
45,-155.0,-1114.0,168.0,-1041.0,471.0,245.0
46,-162.0,-1127.0,159.0,-990.0,384.0,294.0
47,-161.0,-1132.0,129.0,-924.0,297.0,316.0
48,-122.0,-1062.0,90.0,-847.0,210.0,334.0
49,-37.0,-989.0,45.0,-797.0,138.0,400.0
50,28.0,-965.0,17.0,-782.0,96.0,496.0
51,60.0,-962.0,9.0,-786.0,73.0,550.0
52,77.0,-1005.0,29.0,-792.0,58.0,559.0
53,48.0,-1063.0,110.0,-733.0,49.0,515.0
54,59.0,-1043.0,314.0,-87.0,486.0,36.0
55,-506.0,-1434.0,-628.0,2152.0,-12.0,523.0
56,-79.0,-1182.0,-109.0,2548.0,-183.0,55.0
57,207.0,-786.0,253.0,2514.0,-154.0,-111.0
58,-13.0,-670.0,439.0,2078.0,-28.0,-50.0
59,91.0,-873.0,173.0,1570.0,-75.0,-48.0
60,117.0,-922.0,136.0,1302.0,-35.0,-21.0
61,-36.0,-761.0,294.0,1113.0,-53.0,86.0
62,-3.0,-858.0,195.0,823.0,-134.0,95.0
63,-43.0,-1019.0,56.0,611.0,-87.0,-1.0
64,-42.0,-1011.0,43.0,557.0,-72.0,-90.0
65,12.0,-976.0,68.0,370.0,-87.0,-227.0
66,50.0,-959.0,83.0,66.0,-36.0,36.0
67,30.0,-975.0,83.0,58.0,-32.0,41.0
68,37.0,-991.0,75.0,54.0,-34.0,36.0
69,36.0,-999.0,74.0,53.0,-34.0,34.0
70,37.0,-995.0,77.0,51.0,-33.0,34.0
71,39.0,-995.0,78.0,47.0,-34.0,36.0
72,37.0,-1008.0,74.0,41.0,-33.0,39.0
73,37.0,-1002.0,77.0,42.0,-31.0,39.0
74,37.0,-998.0,79.0,35.0,-28.0,38.0
75,30.0,-997.0,79.0,29.0,-25.0,38.0
76,23.0,-992.0,80.0,23.0,-26.0,33.0
77,31.0,-985.0,81.0,16.0,-29.0,16.0
78,36.0,-988.0,71.0,24.0,-44.0,-32.0
79,37.0,-982.0,74.0,26.0,-43.0,-32.0
80,45.0,-982.0,74.0,26.0,-45.0,-27.0
81,44.0,-986.0,74.0,24.0,-43.0,-17.0
82,36.0,-994.0,71.0,20.0,-40.0,-8.0
83,30.0,-996.0,70.0,21.0,-38.0,-6.0
84,26.0,-996.0,71.0,23.0,-39.0,-12.0
85,36.0,-993.0,70.0,26.0,-40.0,-18.0
86,39.0,-996.0,70.0,28.0,-41.0,-18.0
87,35.0,-996.0,71.0,30.0,-39.0,-17.0
88,32.0,-1003.0,69.0,35.0,-39.0,-18.0
89,36.0,-996.0,69.0,49.0,-41.0,-27.0
90,144.0,-1491.0,-21.0,762.0,-32.0,-434.0
91,104.0,-1249.0,97.0,961.0,-8.0,-393.0
92,148.0,-1481.0,39.0,1026.0,-40.0,-265.0
93,57.0,-1439.0,57.0,1219.0,-25.0,-165.0
94,155.0,-1554.0,71.0,1359.0,-56.0,-65.0
95,303.0,-1559.0,57.0,1505.0,-39.0,-63.0
96,412.0,-1623.0,20.0,1659.0,44.0,-61.0
97,-25.0,-1770.0,29.0,1826.0,167.0,-22.0
98,334.0,-1822.0,-48.0,2088.0,68.0,108.0
99,116.0,-1685.0,30.0,2351.0,166.0,158.0
100,230.0,-1850.0,-56.0,2526.0,110.0,306.0
101,-178.0,1192.0,141.0,1766.0,-892.0,731.0
102,49.0,-445.0,-553.0,-2890.0,184.0,26.0
103,31.0,-572.0,-514.0,-3095.0,252.0,263.0
104,36.0,-703.0,-464.0,-3276.0,324.0,389.0
105,27.0,-814.0,-410.0,-3437.0,414.0,397.0
106,-26.0,-901.0,-350.0,-3584.0,500.0,356.0
107,-132.0,-1008.0,-282.0,-3721.0,555.0,328.0
108,-262.0,-1172.0,-182.0,-3827.0,540.0,353.0
109,-429.0,-1352.0,-61.0,-3872.0,446.0,401.0
110,-533.0,-1466.0,46.0,-3848.0,251.0,469.0
111,-326.0,-1644.0,156.0,-3994.0,-559.0,917.0
112,397.0,-747.0,198.0,3534.0,653.0,-1100.0
113,-228.0,-879.0,266.0,3074.0,514.0,-598.0
114,50.0,-880.0,205.0,2642.0,-7.0,-470.0
115,209.0,-882.0,126.0,2251.0,-114.0,-374.0
116,104.0,-869.0,148.0,1937.0,-2.0,-259.0
117,30.0,-876.0,161.0,1660.0,100.0,-235.0
118,-97.0,-765.0,306.0,1418.0,82.0,-254.0
119,-32.0,-763.0,236.0,1127.0,-85.0,-268.0
120,47.0,-882.0,95.0,876.0,-126.0,-291.0
121,-12.0,-938.0,57.0,772.0,-90.0,-313.0
122,11.0,-885.0,106.0,734.0,-102.0,-350.0
123,96.0,-878.0,155.0,644.0,-127.0,-336.0
124,73.0,-928.0,121.0,521.0,-115.0,-272.0
125,64.0,-996.0,67.0,428.0,-96.0,-238.0
126,82.0,-977.0,106.0,95.0,-29.0,-80.0
127,70.0,-982.0,105.0,66.0,-20.0,-51.0
128,54.0,-985.0,101.0,56.0,-19.0,-53.0
129,56.0,-983.0,100.0,58.0,-24.0,-69.0
130,59.0,-983.0,101.0,66.0,-30.0,-83.0
131,66.0,-988.0,99.0,73.0,-34.0,-95.0
132,76.0,-991.0,101.0,79.0,-37.0,-101.0
133,76.0,-994.0,100.0,83.0,-37.0,-101.0
134,56.0,-1032.0,94.0,158.0,-40.0,-165.0
135,138.0,-1006.0,129.0,221.0,-52.0,-185.0
136,108.0,-1023.0,131.0,222.0,-46.0,-179.0
137,95.0,-1053.0,122.0,226.0,-50.0,-194.0
138,78.0,-1033.0,133.0,245.0,-56.0,-225.0
139,144.0,-1036.0,129.0,257.0,-70.0,-254.0
140,177.0,-1081.0,115.0,278.0,-60.0,-263.0
