sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,478.0,-260.0,635.0,-132.0,1233.0,-727.0
1,-1663.0,-1511.0,354.0,-383.0,1865.0,-1066.0
2,-1918.0,-858.0,510.0,183.0,956.0,-30.0
3,-1073.0,-641.0,289.0,225.0,-46.0,598.0
4,-98.0,-842.0,148.0,77.0,-388.0,570.0
5,1.0,-758.0,172.0,-8.0,-202.0,74.0
6,-169.0,-1018.0,148.0,-117.0,-306.0,-109.0
7,-196.0,-977.0,132.0,-126.0,39.0,175.0
8,-111.0,-988.0,106.0,-9.0,-27.0,64.0
9,-107.0,-989.0,103.0,-12.0,-31.0,44.0
10,-99.0,-991.0,99.0,-11.0,-35.0,28.0
11,-99.0,-989.0,99.0,-9.0,-35.0,17.0
12,-100.0,-991.0,99.0,-7.0,-37.0,7.0
13,-89.0,-993.0,97.0,-5.0,-39.0,-1.0
14,-84.0,-976.0,102.0,-2.0,-39.0,-2.0
15,-89.0,-972.0,107.0,-7.0,-37.0,0.0
16,-91.0,-966.0,110.0,-19.0,-38.0,-1.0
17,-88.0,-964.0,108.0,-34.0,-39.0,-3.0
18,-81.0,-951.0,115.0,-51.0,-39.0,-3.0
19,-85.0,-936.0,123.0,-80.0,-36.0,-1.0
20,-75.0,-948.0,114.0,-117.0,-35.0,2.0
21,643.0,-1095.0,-321.0,-239.0,-369.0,-139.0
22,618.0,-1096.0,-331.0,-225.0,-216.0,-331.0
23,541.0,-1050.0,-324.0,-189.0,-57.0,-420.0
24,470.0,-1037.0,-323.0,-172.0,82.0,-464.0
25,413.0,-1033.0,-309.0,-153.0,204.0,-540.0
26,365.0,-1043.0,-282.0,-129.0,312.0,-657.0
27,371.0,-1077.0,-257.0,-95.0,401.0,-784.0
28,395.0,-1030.0,-221.0,-38.0,500.0,-853.0
29,400.0,-977.0,-181.0,-12.0,621.0,-877.0
30,391.0,-866.0,-140.0,-37.0,753.0,-861.0
31,360.0,-857.0,-118.0,-147.0,896.0,-809.0
32,177.0,-1088.0,-68.0,-304.0,1117.0,-818.0
33,4.0,-1105.0,72.0,-275.0,789.0,-616.0
34,-45.0,-1126.0,87.0,-220.0,806.0,-625.0
35,-101.0,-1037.0,94.0,-150.0,802.0,-644.0
36,-183.0,-937.0,97.0,-134.0,784.0,-658.0
37,-266.0,-914.0,98.0,-171.0,740.0,-632.0
38,-306.0,-962.0,97.0,-201.0,672.0,-563.0
39,-318.0,-1007.0,108.0,-175.0,602.0,-482.0
40,-311.0,-976.0,126.0,-107.0,551.0,-405.0
41,-322.0,-868.0,128.0,-57.0,524.0,-280.0
42,-329.0,-822.0,115.0,-72.0,500.0,-105.0
43,-343.0,-857.0,109.0,-119.0,470.0,39.0
44,-374.0,-932.0,106.0,-131.0,344.0,157.0
