sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ,Speed
0,-98.0,-969.0,40.0,445.0,-18.0,178.0,0.55
1,-83.0,-1073.0,-16.0,385.0,-16.0,135.0,0.55
2,-107.0,-1055.0,6.0,-111.0,-56.0,-128.0,0.55
3,-84.0,-1044.0,15.0,-62.0,-54.0,-121.0,0.55
4,-122.0,-1002.0,40.0,-30.0,-50.0,-99.0,0.55
5,-115.0,-993.0,38.0,-28.0,-53.0,-106.0,0.55
6,-84.0,-1006.0,22.0,-21.0,-54.0,-109.0,0.55
7,-83.0,-1004.0,29.0,-4.0,-48.0,-91.0,0.55
8,-87.0,-996.0,34.0,7.0,-46.0,-68.0,0.55
9,-80.0,-990.0,34.0,12.0,-44.0,-49.0,0.55
10,-88.0,-984.0,41.0,16.0,-41.0,-26.0,0.55
11,-101.0,-986.0,40.0,15.0,-38.0,-11.0,0.55
12,-102.0,-987.0,38.0,14.0,-38.0,-8.0,0.55
13,-103.0,-988.0,37.0,13.0,-38.0,-5.0,0.55
14,-101.0,-987.0,37.0,12.0,-38.0,-6.0,0.55
15,-101.0,-986.0,37.0,12.0,-38.0,-4.0,0.55
16,-102.0,-979.0,41.0,12.0,-38.0,-2.0,0.55
17,-96.0,-984.0,38.0,5.0,-37.0,0.0,0.55
18,-130.0,-986.0,41.0,0.0,-38.0,33.0,0.55
19,-121.0,-986.0,38.0,-12.0,-40.0,10.0,0.55
20,-121.0,-991.0,33.0,-19.0,-42.0,0.0,0.55
21,-135.0,-999.0,31.0,-20.0,-44.0,-11.0,0.55
22,-131.0,-1026.0,18.0,-20.0,-48.0,-33.0,0.55
23,-131.0,-1025.0,22.0,-9.0,-51.0,-51.0,0.55
24,-126.0,-1062.0,0.0,-2.0,-57.0,-62.0,0.55
25,-127.0,-1087.0,-2.0,18.0,-66.0,-70.0,0.55
26,-100.0,-1104.0,-7.0,39.0,-81.0,-75.0,0.55
27,16.0,-1203.0,-70.0,54.0,-76.0,-91.0,0.55
28,-113.0,-1443.0,-164.0,118.0,5.0,-117.0,0.55
29,-251.0,-1713.0,-174.0,301.0,52.0,-208.0,0.55
30,334.0,-1959.0,-400.0,655.0,96.0,-647.0,0.55
31,-513.0,-1959.0,-334.0,2392.0,235.0,-1413.0,0.55
32,-320.0,-189.0,-873.0,1013.0,-373.0,-298.0,0.55
33,-464.0,62.0,-882.0,745.0,-350.0,-164.0,0.55
34,-404.0,-4.0,-873.0,342.0,-460.0,21.0,0.0
35,-310.0,-116.0,-833.0,14.0,-565.0,121.0,0.0
36,-268.0,-134.0,-788.0,-223.0,-632.0,199.0,0.0
37,-254.0,-75.0,-766.0,-459.0,-701.0,346.0,0.0
38,-176.0,-51.0,-740.0,-757.0,-782.0,504.0,0.0
39,-170.0,-206.0,-721.0,-1101.0,-824.0,588.0,0.0
40,-178.0,-374.0,-671.0,-1385.0,-869.0,629.0,0.0
41,-222.0,-455.0,-622.0,-1603.0,-927.0,708.0,0.0
42,-230.0,-554.0,-588.0,-1809.0,-1020.0,805.0,0.0
43,-78.0,-753.0,-509.0,-2168.0,-1221.0,925.0,0.0
44,553.0,-1781.0,150.0,-2406.0,-920.0,-320.0,0.0
45,-584.0,-1517.0,772.0,-758.0,1316.0,-4.0,0.0
46,-624.0,-1354.0,673.0,-354.0,771.0,-67.0,0.0
47,-476.0,-1106.0,550.0,-39.0,183.0,-37.0,0.0
48,-148.0,-1002.0,427.0,150.0,-328.0,103.0,0.0
49,183.0,-1056.0,330.0,293.0,-637.0,321.0,0.0
50,497.0,-1117.0,276.0,484.0,-719.0,614.0,0.0
51,774.0,-1000.0,285.0,712.0,-562.0,954.0,0.0
52,1094.0,-476.0,383.0,818.0,-183.0,1203.0,0.0
53,1370.0,-138.0,449.0,557.0,423.0,1137.0,0.0
54,1299.0,-404.0,373.0,105.0,1179.0,1010.0,0.0
55,1070.0,-998.0,528.0,-152.0,1886.0,1147.0,0.0
56,-1174.0,-666.0,-379.0,2886.0,2613.0,2671.0,0.0
57,-35.0,-958.0,7.0,461.0,-75.0,136.0,0.0
58,12.0,-908.0,62.0,441.0,-66.0,206.0,0.0
59,-130.0,-980.0,24.0,373.0,-8.0,257.0,0.0
60,-124.0,-991.0,15.0,346.0,-1.0,226.0,0.0
61,-153.0,-965.0,39.0,322.0,-6.0,200.0,0.0
62,-161.0,-973.0,40.0,273.0,-14.0,145.0,0.0
63,-140.0,-984.0,27.0,231.0,-24.0,83.0,0.0
64,-127.0,-995.0,18.0,208.0,-32.0,45.0,0.0
65,-125.0,-982.0,34.0,193.0,-38.0,20.0,0.0
66,-122.0,-991.0,24.0,172.0,-44.0,2.0,0.0
67,-109.0,-990.0,25.0,160.0,-49.0,-14.0,0.0
68,-78.0,-994.0,26.0,144.0,-49.0,9.0,0.0
69,-115.0,-969.0,41.0,97.0,-33.0,-18.0,0.0
70,-116.0,-980.0,47.0,97.0,-25.0,20.0,0.0
71,-116.0,-980.0,46.0,93.0,-25.0,13.0,0.0
72,-133.0,-978.0,54.0,86.0,-23.0,4.0,0.61
73,-123.0,-980.0,51.0,78.0,-26.0,-11.0,0.61
74,-110.0,-988.0,48.0,71.0,-27.0,-23.0,0.61
75,-107.0,-1024.0,32.0,73.0,-24.0,-28.0,0.61
76,-53.0,-1027.0,27.0,94.0,-24.0,-27.0,0.61
77,-90.0,-1024.0,33.0,119.0,-5.0,-13.0,0.61
78,-139.0,-1008.0,42.0,139.0,7.0,-20.0,0.61
79,-128.0,-1006.0,45.0,151.0,5.0,-46.0,0.61
80,-126.0,-1022.0,38.0,161.0,7.0,-74.0,0.61
81,-77.0,-1061.0,35.0,205.0,20.0,-110.0,0.61
82,-234.0,-1959.0,-177.0,1826.0,-313.0,-1018.0,0.61
83,-78.0,19.0,-622.0,1817.0,399.0,-1270.0,0.61
84,296.0,-509.0,-1140.0,1077.0,450.0,175.0,0.61
85,746.0,-592.0,-1014.0,684.0,859.0,216.0,0.61
86,103.0,-375.0,-983.0,471.0,1532.0,89.0,0.61
87,-367.0,50.0,-979.0,178.0,1744.0,395.0,0.61
88,-529.0,-197.0,-952.0,-307.0,1631.0,775.0,0.61
89,-747.0,-379.0,-889.0,-583.0,1413.0,1014.0,0.61
90,-949.0,-315.0,-827.0,-708.0,1060.0,1113.0,0.61
91,-1064.0,-243.0,-796.0,-868.0,566.0,1105.0,0.61
92,-956.0,-304.0,-767.0,-1068.0,-34.0,1024.0,0.61
93,687.0,-1604.0,-142.0,-3239.0,-1927.0,1122.0,0.61
94,783.0,-1596.0,-104.0,-3268.0,-1976.0,1092.0,0.61
95,903.0,-1678.0,-71.0,-3313.0,-2008.0,1063.0,0.61
96,1072.0,-1824.0,-26.0,-3299.0,-1979.0,1084.0,0.61
97,1230.0,-1876.0,63.0,-3183.0,-1820.0,1091.0,0.61
98,1281.0,-1730.0,170.0,-3063.0,-1497.0,990.0,0.61
99,1281.0,-1733.0,264.0,-3062.0,-1079.0,888.0,0.61
100,1200.0,-1752.0,386.0,-3064.0,-627.0,964.0,0.61
101,1290.0,-1691.0,521.0,-3033.0,-218.0,1153.0,0.61
102,1484.0,-1758.0,649.0,-2969.0,218.0,1254.0,0.61
103,1554.0,-1783.0,802.0,-2799.0,726.0,1098.0,0.61
104,815.0,-1824.0,1096.0,-2209.0,1641.0,75.0,0.61
105,554.0,-799.0,255.0,613.0,-540.0,230.0,0.61
106,750.0,-770.0,243.0,597.0,-404.0,347.0,0.61
107,1025.0,-1011.0,533.0,527.0,-129.0,496.0,0.61
108,424.0,385.0,210.0,1992.0,152.0,1455.0,0.61
