sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-149.0,-981.0,3.0,33.0,-37.0,-5.0
1,-150.0,-981.0,4.0,33.0,-38.0,-5.0
2,-151.0,-980.0,6.0,34.0,-37.0,-5.0
3,-151.0,-982.0,4.0,33.0,-38.0,-9.0
4,-149.0,-980.0,6.0,35.0,-36.0,0.0
5,-147.0,-981.0,5.0,34.0,-36.0,-1.0
6,-151.0,-979.0,8.0,35.0,-36.0,0.0
7,-151.0,-979.0,6.0,33.0,-36.0,-2.0
8,-147.0,-980.0,5.0,32.0,-37.0,-3.0
9,-147.0,-981.0,5.0,32.0,-37.0,-3.0
10,-148.0,-981.0,4.0,32.0,-37.0,-3.0
11,-149.0,-980.0,6.0,32.0,-36.0,-3.0
12,-149.0,-980.0,6.0,30.0,-36.0,-2.0
13,-149.0,-983.0,3.0,33.0,-36.0,-2.0
14,-150.0,-980.0,6.0,33.0,-36.0,-1.0
15,-149.0,-981.0,4.0,33.0,-37.0,0.0
16,-149.0,-980.0,6.0,33.0,-36.0,-1.0
17,-151.0,-981.0,6.0,33.0,-36.0,-1.0
18,-149.0,-980.0,5.0,33.0,-36.0,-1.0
19,-150.0,-982.0,6.0,32.0,-37.0,-2.0
20,-150.0,-981.0,5.0,32.0,-37.0,-2.0
21,-150.0,-981.0,5.0,31.0,-36.0,-2.0
22,-151.0,-982.0,5.0,31.0,-37.0,-3.0
23,-152.0,-979.0,5.0,32.0,-37.0,-5.0
24,-152.0,-979.0,6.0,31.0,-37.0,-6.0
25,-152.0,-979.0,5.0,30.0,-38.0,-8.0
26,-152.0,-987.0,4.0,-18.0,-55.0,-103.0
27,-158.0,-987.0,3.0,-20.0,-57.0,-112.0
28,-163.0,-990.0,1.0,-21.0,-58.0,-134.0
29,-151.0,-1002.0,-5.0,-19.0,-62.0,-155.0
30,-184.0,-1040.0,-10.0,-13.0,-59.0,-177.0
31,-184.0,-1044.0,-15.0,6.0,-63.0,-227.0
32,-171.0,-1059.0,-15.0,25.0,-66.0,-282.0
33,-140.0,-1049.0,-14.0,42.0,-62.0,-335.0
34,-134.0,-1078.0,-21.0,48.0,-42.0,-414.0
35,-206.0,-1128.0,-16.0,59.0,-1.0,-542.0
36,-125.0,-1308.0,-71.0,113.0,-24.0,-632.0
37,-323.0,-1280.0,-46.0,337.0,104.0,-812.0
38,8.0,-984.0,-23.0,859.0,-747.0,-469.0
39,66.0,-613.0,-77.0,818.0,-666.0,-578.0
40,54.0,-452.0,-214.0,619.0,-551.0,-607.0
41,73.0,-579.0,-337.0,367.0,-422.0,-451.0
42,225.0,-821.0,-236.0,209.0,-231.0,-277.0
43,-222.0,-730.0,-244.0,142.0,30.0,-91.0
44,-207.0,-638.0,-310.0,18.0,5.0,59.0
45,-194.0,-842.0,-283.0,-126.0,-55.0,85.0
46,-144.0,-895.0,-269.0,-166.0,-120.0,89.0
47,-76.0,-869.0,-264.0,-171.0,-177.0,108.0
