sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-105.0,-977.0,121.0,37.0,-39.0,-1.0
1,-104.0,-979.0,122.0,37.0,-40.0,-3.0
2,-101.0,-980.0,123.0,37.0,-40.0,-4.0
3,-102.0,-979.0,122.0,39.0,-39.0,-4.0
4,-103.0,-976.0,123.0,39.0,-39.0,-2.0
5,-103.0,-976.0,124.0,38.0,-38.0,-2.0
6,-104.0,-976.0,123.0,36.0,-38.0,-3.0
7,-102.0,-975.0,123.0,35.0,-39.0,-4.0
8,-103.0,-978.0,122.0,33.0,-39.0,-3.0
9,-104.0,-980.0,122.0,33.0,-38.0,-3.0
10,-104.0,-974.0,123.0,42.0,-38.0,4.0
11,-106.0,-973.0,124.0,41.0,-38.0,4.0
12,-106.0,-972.0,123.0,40.0,-38.0,1.0
13,-107.0,-972.0,125.0,38.0,-37.0,0.0
14,-106.0,-975.0,124.0,35.0,-37.0,-2.0
15,-106.0,-979.0,122.0,34.0,-37.0,-4.0
16,-103.0,-979.0,123.0,34.0,-38.0,-5.0
17,-106.0,-977.0,123.0,34.0,-38.0,-5.0
18,-105.0,-978.0,122.0,35.0,-38.0,-5.0
19,-104.0,-976.0,123.0,34.0,-37.0,-5.0
20,-106.0,-972.0,125.0,34.0,-37.0,-5.0
21,-103.0,-971.0,125.0,30.0,-37.0,-6.0
22,-105.0,-978.0,121.0,19.0,-35.0,-3.0
23,-103.0,-978.0,121.0,19.0,-35.0,-4.0
24,-108.0,-979.0,122.0,19.0,-35.0,-4.0
25,-105.0,-979.0,120.0,19.0,-36.0,-6.0
26,-104.0,-976.0,121.0,19.0,-36.0,-7.0
27,-108.0,-975.0,121.0,19.0,-36.0,-9.0
28,-105.0,-971.0,121.0,18.0,-35.0,-12.0
29,-107.0,-968.0,122.0,16.0,-35.0,-14.0
30,-105.0,-965.0,122.0,13.0,-34.0,-15.0
31,-103.0,-965.0,123.0,11.0,-34.0,-17.0
32,-107.0,-971.0,123.0,6.0,-32.0,-18.0
33,-103.0,-983.0,120.0,3.0,-33.0,-18.0
34,796.0,-1355.0,-185.0,447.0,180.0,12.0
35,977.0,-1287.0,-298.0,458.0,631.0,-508.0
36,485.0,-1584.0,-293.0,478.0,1197.0,-728.0
37,375.0,-1271.0,-363.0,745.0,1408.0,-406.0
38,283.0,-942.0,-483.0,828.0,1579.0,-158.0
39,69.0,-807.0,-478.0,714.0,1767.0,70.0
40,-95.0,-729.0,-549.0,503.0,1803.0,246.0
41,-149.0,-786.0,-608.0,230.0,1714.0,197.0
42,59.0,-857.0,-628.0,-227.0,965.0,-335.0
43,11.0,-1063.0,-28.0,-365.0,411.0,-607.0
44,-286.0,-1181.0,473.0,-522.0,213.0,-358.0
45,-274.0,-939.0,548.0,-364.0,117.0,-307.0
46,-284.0,-590.0,588.0,-376.0,23.0,-255.0
47,-293.0,-657.0,564.0,-599.0,-70.0,-159.0
48,-344.0,-1006.0,551.0,-745.0,-162.0,-35.0
49,-403.0,-1208.0,558.0,-636.0,-270.0,58.0
50,-404.0,-1221.0,581.0,-361.0,-414.0,137.0
51,-340.0,-1121.0,602.0,-69.0,-563.0,222.0
52,-252.0,-978.0,592.0,141.0,-681.0,304.0
53,-165.0,-919.0,546.0,241.0,-746.0,383.0
54,-99.0,-974.0,505.0,294.0,-758.0,440.0
55,20.0,-927.0,447.0,474.0,-674.0,470.0
56,-57.0,-962.0,104.0,87.0,-15.0,67.0
57,-60.0,-965.0,104.0,82.0,-12.0,73.0
58,-59.0,-972.0,102.0,78.0,-9.0,81.0
59,-84.0,-990.0,99.0,77.0,-6.0,86.0
60,-83.0,-987.0,102.0,84.0,-9.0,76.0
61,-86.0,-983.0,107.0,84.0,-10.0,61.0
62,-82.0,-985.0,108.0,77.0,-14.0,46.0
63,-76.0,-989.0,105.0,69.0,-17.0,36.0
64,-80.0,-996.0,103.0,64.0,-18.0,28.0
65,-65.0,-995.0,103.0,65.0,-20.0,22.0
66,-59.0,-1000.0,100.0,65.0,-19.0,29.0
67,-67.0,-1001.0,104.0,71.0,-17.0,60.0
68,-71.0,-985.0,103.0,-13.0,-39.0,-17.0
69,-75.0,-998.0,97.0,-12.0,-39.0,-11.0
70,-78.0,-1003.0,93.0,-4.0,-39.0,-9.0
71,-72.0,-1000.0,93.0,10.0,-41.0,-9.0
72,-79.0,-984.0,100.0,26.0,-41.0,-5.0
73,-84.0,-994.0,97.0,32.0,-43.0,-4.0
74,-75.0,-1021.0,84.0,43.0,-45.0,-8.0
75,-72.0,-1014.0,85.0,73.0,-45.0,-5.0
