sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,4.0,-990.0,33.0,-93.0,-243.0,-5.0
1,7.0,-998.0,44.0,-63.0,-183.0,-39.0
2,-13.0,-998.0,46.0,-30.0,-130.0,-70.0
3,-36.0,-967.0,59.0,0.0,-94.0,-86.0
4,-59.0,-925.0,63.0,9.0,-71.0,-85.0
5,-59.0,-892.0,70.0,-10.0,-62.0,-76.0
6,-52.0,-913.0,80.0,-45.0,-52.0,-69.0
7,-49.0,-998.0,81.0,-56.0,-36.0,-50.0
8,-45.0,-1025.0,85.0,-10.0,-24.0,-27.0
9,-20.0,-1008.0,93.0,55.0,-13.0,-41.0
10,27.0,-1017.0,103.0,107.0,4.0,-89.0
11,-371.0,-1303.0,344.0,529.0,-5.0,-328.0
12,-163.0,-928.0,39.0,485.0,-27.0,-33.0
13,-146.0,-990.0,8.0,400.0,-40.0,7.0
14,-153.0,-990.0,-3.0,385.0,-56.0,49.0
15,-121.0,-908.0,31.0,385.0,-69.0,76.0
16,-178.0,-871.0,85.0,329.0,-41.0,84.0
17,-193.0,-900.0,63.0,237.0,-33.0,39.0
18,-126.0,-944.0,30.0,171.0,-43.0,6.0
19,-167.0,-946.0,30.0,147.0,-31.0,21.0
20,-168.0,-945.0,38.0,125.0,-29.0,7.0
21,-163.0,-975.0,17.0,96.0,-29.0,-11.0
22,-172.0,-983.0,18.0,86.0,-30.0,-26.0
23,-156.0,-1006.0,3.0,72.0,-35.0,-50.0
24,-151.0,-982.0,20.0,49.0,-39.0,10.0
25,-155.0,-980.0,28.0,84.0,-18.0,96.0
26,-159.0,-989.0,25.0,86.0,-17.0,100.0
27,-160.0,-993.0,21.0,92.0,-17.0,102.0
28,-161.0,-993.0,24.0,100.0,-18.0,104.0
29,-169.0,-992.0,27.0,106.0,-19.0,105.0
30,-174.0,-991.0,28.0,107.0,-21.0,100.0
31,-176.0,-993.0,30.0,105.0,-26.0,93.0
32,-174.0,-993.0,28.0,104.0,-30.0,87.0
33,-171.0,-993.0,29.0,107.0,-34.0,83.0
34,-174.0,-990.0,32.0,107.0,-38.0,83.0
35,-173.0,-1009.0,25.0,104.0,-42.0,78.0
36,-349.0,-1819.0,-204.0,1994.0,-108.0,-493.0
37,-574.0,13.0,-934.0,652.0,1676.0,779.0
38,-618.0,63.0,-913.0,324.0,1455.0,726.0
39,-585.0,-10.0,-863.0,-65.0,1179.0,531.0
40,-552.0,-105.0,-809.0,-430.0,897.0,291.0
41,-537.0,-257.0,-766.0,-752.0,610.0,105.0
42,-505.0,-353.0,-717.0,-1011.0,321.0,4.0
43,-477.0,-400.0,-680.0,-1237.0,56.0,-70.0
44,-440.0,-376.0,-656.0,-1481.0,-179.0,-134.0
45,-396.0,-455.0,-638.0,-1786.0,-380.0,-184.0
46,-364.0,-716.0,-602.0,-2071.0,-542.0,-200.0
47,-342.0,-908.0,-529.0,-2230.0,-668.0,-197.0
48,-217.0,-1128.0,-385.0,-2328.0,-816.0,-105.0
49,-549.0,-1078.0,483.0,-464.0,534.0,121.0
50,-463.0,-1046.0,433.0,-362.0,305.0,126.0
51,-420.0,-999.0,388.0,-270.0,108.0,134.0
52,-435.0,-941.0,347.0,-199.0,-67.0,53.0
53,-427.0,-898.0,317.0,-156.0,-248.0,-64.0
54,-402.0,-874.0,308.0,-133.0,-422.0,-125.0
55,-365.0,-841.0,303.0,-126.0,-571.0,-105.0
56,-295.0,-810.0,292.0,-141.0,-689.0,-2.0
57,-220.0,-864.0,272.0,-162.0,-759.0,136.0
58,-189.0,-922.0,260.0,-140.0,-778.0,197.0
59,-183.0,-874.0,265.0,-82.0,-780.0,145.0
60,-194.0,-813.0,290.0,-50.0,-791.0,52.0
61,-204.0,-749.0,321.0,-65.0,-825.0,4.0
62,-53.0,-1048.0,142.0,-24.0,-936.0,-296.0
63,-446.0,-835.0,810.0,1368.0,-695.0,-1106.0
64,-149.0,-891.0,41.0,405.0,-72.0,102.0
65,-180.0,-900.0,46.0,363.0,-45.0,58.0
66,-136.0,-939.0,30.0,319.0,-53.0,19.0
67,-135.0,-965.0,21.0,290.0,-56.0,28.0
68,-152.0,-946.0,32.0,271.0,-42.0,26.0
69,-166.0,-976.0,21.0,238.0,-32.0,-7.0
70,-126.0,-983.0,21.0,214.0,-42.0,-24.0
71,-134.0,-981.0,20.0,195.0,-41.0,-3.0
72,-132.0,-991.0,16.0,182.0,-39.0,6.0
73,-132.0,-985.0,22.0,179.0,-32.0,49.0
74,-149.0,-977.0,31.0,145.0,-26.0,56.0
75,-149.0,-977.0,29.0,61.0,-36.0,43.0
76,-153.0,-970.0,33.0,61.0,-33.0,47.0
77,-154.0,-969.0,33.0,59.0,-33.0,49.0
78,-157.0,-972.0,33.0,58.0,-31.0,50.0
79,-158.0,-978.0,30.0,56.0,-31.0,48.0
80,-151.0,-979.0,28.0,56.0,-31.0,47.0
81,-154.0,-976.0,32.0,57.0,-30.0,52.0
82,-156.0,-976.0,32.0,57.0,-29.0,55.0
83,-157.0,-975.0,33.0,56.0,-28.0,57.0
84,-171.0,-978.0,34.0,56.0,-28.0,55.0
85,-173.0,-988.0,32.0,50.0,-32.0,41.0
86,-156.0,-998.0,24.0,52.0,-37.0,34.0
87,-96.0,-1100.0,13.0,292.0,-88.0,222.0
88,-170.0,-1366.0,-49.0,321.0,-77.0,261.0
89,215.0,-1274.0,-3.0,468.0,-77.0,255.0
90,-267.0,-1728.0,-150.0,581.0,79.0,316.0
91,-331.0,-1911.0,-217.0,853.0,24.0,454.0
92,-260.0,-1932.0,-145.0,1305.0,-14.0,348.0
