sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-58.0,-1263.0,594.0,107.0,-295.0,24.0
1,244.0,-1324.0,220.0,-22.0,-405.0,-120.0
2,362.0,-1440.0,-78.0,-132.0,-199.0,-78.0
3,44.0,-1283.0,20.0,14.0,131.0,77.0
4,-119.0,-1055.0,186.0,179.0,177.0,90.0
5,-59.0,-970.0,232.0,175.0,54.0,-45.0
6,-20.0,-891.0,300.0,152.0,43.0,-139.0
7,50.0,-968.0,233.0,25.0,-9.0,-110.0
8,47.0,-956.0,241.0,13.0,29.0,-91.0
9,38.0,-950.0,250.0,-4.0,34.0,-83.0
10,40.0,-960.0,244.0,-27.0,41.0,-89.0
11,59.0,-963.0,236.0,-39.0,48.0,-91.0
12,46.0,-959.0,236.0,-40.0,64.0,-81.0
13,21.0,-965.0,234.0,-39.0,74.0,-75.0
14,30.0,-989.0,218.0,-38.0,69.0,-88.0
15,30.0,-992.0,215.0,-20.0,67.0,-98.0
16,26.0,-987.0,223.0,-2.0,59.0,-100.0
17,33.0,-961.0,241.0,24.0,41.0,-62.0
18,34.0,-968.0,248.0,18.0,33.0,-28.0
19,62.0,-991.0,221.0,9.0,24.0,-36.0
20,75.0,-987.0,215.0,21.0,32.0,-27.0
21,49.0,-960.0,241.0,41.0,44.0,-7.0
22,48.0,-959.0,243.0,34.0,41.0,-4.0
23,52.0,-959.0,244.0,26.0,44.0,-8.0
24,54.0,-958.0,246.0,19.0,47.0,-6.0
25,53.0,-956.0,249.0,11.0,52.0,1.0
26,61.0,-965.0,236.0,1.0,59.0,7.0
27,49.0,-958.0,239.0,2.0,72.0,14.0
28,36.0,-951.0,245.0,1.0,73.0,16.0
29,93.0,-1030.0,227.0,-133.0,88.0,64.0
30,412.0,-1111.0,201.0,75.0,-589.0,-263.0
31,303.0,-1019.0,238.0,76.0,-283.0,-172.0
32,144.0,-926.0,278.0,58.0,-72.0,-95.0
33,200.0,-868.0,304.0,17.0,-73.0,-43.0
34,185.0,-861.0,296.0,-35.0,12.0,9.0
35,146.0,-880.0,331.0,-78.0,88.0,44.0
36,52.0,-960.0,328.0,-129.0,140.0,57.0
37,4.0,-1026.0,264.0,-158.0,126.0,23.0
38,-12.0,-1056.0,224.0,-149.0,97.0,-27.0
