sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,159.0,-979.0,128.0,-13.0,55.0,-59.0
1,151.0,-976.0,135.0,-11.0,59.0,-60.0
2,146.0,-973.0,136.0,-9.0,63.0,-64.0
3,147.0,-972.0,134.0,-7.0,61.0,-68.0
4,148.0,-977.0,132.0,-4.0,58.0,-69.0
5,157.0,-980.0,129.0,-1.0,48.0,-70.0
6,153.0,-976.0,130.0,8.0,48.0,-67.0
7,154.0,-970.0,136.0,16.0,44.0,-68.0
8,147.0,-956.0,144.0,25.0,45.0,-73.0
9,188.0,-978.0,135.0,13.0,-37.0,-139.0
10,168.0,-976.0,133.0,-11.0,-34.0,-165.0
11,215.0,-945.0,155.0,-1.0,-34.0,-141.0
12,210.0,-969.0,130.0,-18.0,-20.0,-126.0
13,204.0,-977.0,128.0,-14.0,-4.0,-114.0
14,193.0,-978.0,121.0,2.0,3.0,-99.0
15,208.0,-980.0,116.0,13.0,-6.0,-86.0
16,188.0,-971.0,140.0,29.0,-4.0,-77.0
17,175.0,-982.0,140.0,9.0,-6.0,-83.0
18,164.0,-982.0,135.0,-2.0,-12.0,-99.0
19,184.0,-953.0,150.0,67.0,87.0,42.0
20,198.0,-968.0,136.0,50.0,64.0,35.0
21,187.0,-971.0,135.0,50.0,73.0,32.0
22,197.0,-970.0,135.0,53.0,66.0,27.0
23,201.0,-956.0,148.0,64.0,62.0,32.0
24,232.0,-949.0,144.0,69.0,48.0,52.0
25,211.0,-963.0,135.0,71.0,65.0,80.0
26,198.0,-960.0,154.0,79.0,67.0,92.0
27,199.0,-974.0,135.0,70.0,64.0,97.0
28,203.0,-984.0,127.0,74.0,69.0,104.0
29,196.0,-960.0,152.0,99.0,70.0,119.0
30,190.0,-971.0,158.0,78.0,104.0,142.0
31,183.0,-1083.0,169.0,169.0,173.0,245.0
32,129.0,-1097.0,182.0,196.0,177.0,242.0
33,104.0,-1123.0,190.0,229.0,143.0,207.0
34,94.0,-1184.0,185.0,272.0,113.0,149.0
35,133.0,-1223.0,175.0,358.0,63.0,92.0
36,143.0,-1244.0,168.0,504.0,69.0,54.0
37,130.0,-1330.0,176.0,669.0,83.0,49.0
38,67.0,-1556.0,242.0,899.0,70.0,133.0
39,-12.0,-1154.0,219.0,1397.0,31.0,330.0
40,233.0,-1231.0,127.0,1307.0,-127.0,230.0
41,239.0,-1317.0,199.0,1248.0,-19.0,59.0
42,253.0,-1433.0,276.0,1321.0,43.0,-32.0
43,261.0,-1496.0,285.0,1448.0,127.0,-50.0
44,235.0,-1567.0,221.0,1575.0,221.0,-64.0
45,276.0,-1628.0,176.0,1706.0,253.0,-123.0
46,334.0,-1698.0,183.0,1852.0,328.0,-208.0
47,275.0,-1726.0,183.0,2025.0,496.0,-284.0
48,362.0,-1753.0,235.0,2227.0,491.0,-375.0
49,403.0,-1793.0,315.0,2455.0,547.0,-531.0
50,-26.0,-124.0,-730.0,-157.0,479.0,197.0
51,135.0,-241.0,-673.0,-859.0,234.0,162.0
52,60.0,-210.0,-637.0,-1077.0,336.0,159.0
53,20.0,-229.0,-603.0,-1367.0,344.0,186.0
54,8.0,-285.0,-569.0,-1659.0,324.0,220.0
55,34.0,-395.0,-537.0,-1935.0,301.0,235.0
56,18.0,-507.0,-492.0,-2137.0,315.0,205.0
57,359.0,-1314.0,108.0,-3164.0,-553.0,5.0
58,380.0,-1346.0,179.0,-3143.0,-470.0,-58.0
59,367.0,-1397.0,231.0,-3147.0,-392.0,-122.0
60,355.0,-1492.0,258.0,-3147.0,-337.0,-184.0
61,290.0,-1591.0,302.0,-3091.0,-274.0,-252.0
62,179.0,-1584.0,370.0,-2959.0,-227.0,-305.0
63,127.0,-1558.0,416.0,-2871.0,-259.0,-296.0
64,97.0,-1459.0,428.0,-2828.0,-279.0,-271.0
65,-49.0,-1358.0,488.0,-2908.0,-255.0,-262.0
66,61.0,-1602.0,458.0,-3199.0,-432.0,-213.0
67,124.0,-1769.0,475.0,-3195.0,-453.0,-135.0
68,-89.0,-1024.0,404.0,95.0,413.0,44.0
69,-91.0,-1001.0,279.0,214.0,302.0,47.0
70,-70.0,-986.0,222.0,315.0,167.0,35.0
71,-22.0,-1066.0,209.0,387.0,30.0,20.0
72,6.0,-1137.0,253.0,551.0,-50.0,-11.0
73,31.0,-1173.0,337.0,807.0,-114.0,-16.0
74,69.0,-1203.0,445.0,1134.0,-166.0,51.0
75,114.0,-1184.0,513.0,1511.0,-177.0,138.0
76,92.0,-859.0,532.0,1909.0,-97.0,168.0
77,98.0,-932.0,159.0,789.0,-127.0,-41.0
78,100.0,-918.0,170.0,642.0,-200.0,-169.0
79,116.0,-951.0,185.0,564.0,-158.0,-261.0
80,187.0,-915.0,197.0,474.0,-125.0,-314.0
81,216.0,-968.0,115.0,330.0,-30.0,-322.0
82,167.0,-1005.0,120.0,271.0,91.0,-332.0
