sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,4.0,-975.0,218.0,1.0,67.0,-19.0
1,8.0,-971.0,219.0,7.0,64.0,-18.0
2,4.0,-969.0,222.0,7.0,65.0,-18.0
3,-1.0,-968.0,221.0,8.0,63.0,-20.0
4,-7.0,-965.0,224.0,9.0,61.0,-22.0
5,-17.0,-964.0,224.0,10.0,57.0,-30.0
6,-19.0,-968.0,222.0,8.0,48.0,-46.0
7,-1.0,-969.0,221.0,9.0,34.0,-62.0
8,4.0,-973.0,223.0,10.0,26.0,-69.0
9,17.0,-976.0,222.0,12.0,42.0,-12.0
10,0.0,-1005.0,219.0,29.0,58.0,30.0
11,-1.0,-1006.0,224.0,37.0,49.0,30.0
12,5.0,-1024.0,221.0,33.0,41.0,26.0
13,2.0,-1031.0,223.0,39.0,36.0,24.0
14,14.0,-1061.0,208.0,40.0,17.0,27.0
15,28.0,-1053.0,209.0,64.0,2.0,32.0
16,36.0,-1055.0,218.0,79.0,-8.0,39.0
17,29.0,-1058.0,229.0,89.0,-1.0,46.0
18,41.0,-1042.0,236.0,104.0,13.0,51.0
19,26.0,-1025.0,246.0,108.0,42.0,62.0
20,26.0,-1009.0,246.0,121.0,53.0,74.0
21,140.0,-838.0,230.0,-214.0,456.0,-136.0
22,-289.0,-1076.0,177.0,-5.0,-32.0,-279.0
23,-197.0,-1062.0,173.0,48.0,-155.0,-415.0
24,-158.0,-1067.0,163.0,90.0,-218.0,-524.0
25,-72.0,-1057.0,174.0,133.0,-284.0,-613.0
26,20.0,-1018.0,222.0,168.0,-332.0,-640.0
27,92.0,-991.0,237.0,152.0,-317.0,-603.0
28,248.0,-985.0,215.0,109.0,-307.0,-539.0
29,307.0,-964.0,215.0,94.0,-208.0,-416.0
30,224.0,-966.0,187.0,72.0,-48.0,-265.0
31,189.0,-959.0,212.0,78.0,13.0,-145.0
32,68.0,-937.0,273.0,95.0,68.0,-55.0
33,111.0,-992.0,221.0,54.0,8.0,-154.0
34,93.0,-969.0,234.0,-41.0,96.0,-160.0
35,103.0,-966.0,233.0,-44.0,105.0,-136.0
36,87.0,-970.0,225.0,-47.0,118.0,-109.0
37,88.0,-969.0,230.0,-42.0,116.0,-90.0
