sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,40.0,-973.0,198.0,-3.0,91.0,-2.0
1,36.0,-977.0,197.0,-6.0,96.0,-2.0
2,34.0,-973.0,202.0,-6.0,97.0,-4.0
3,34.0,-974.0,201.0,-8.0,97.0,-7.0
4,34.0,-975.0,198.0,-10.0,98.0,-10.0
5,33.0,-970.0,207.0,-7.0,95.0,-12.0
6,37.0,-977.0,197.0,-8.0,91.0,-15.0
7,31.0,-980.0,193.0,-10.0,95.0,-22.0
8,33.0,-972.0,203.0,0.0,80.0,1.0
9,32.0,-980.0,198.0,-13.0,79.0,-14.0
10,33.0,-983.0,192.0,-15.0,80.0,-17.0
11,34.0,-984.0,191.0,-13.0,84.0,-18.0
12,30.0,-976.0,199.0,-7.0,87.0,-19.0
13,29.0,-973.0,204.0,-7.0,86.0,-22.0
14,32.0,-977.0,200.0,-10.0,87.0,-24.0
15,32.0,-979.0,199.0,-12.0,87.0,-26.0
16,26.0,-978.0,199.0,-12.0,89.0,-27.0
17,32.0,-987.0,188.0,-13.0,88.0,-29.0
18,36.0,-984.0,194.0,-3.0,89.0,-31.0
19,30.0,-977.0,200.0,4.0,91.0,-28.0
20,10.0,-963.0,214.0,49.0,58.0,-38.0
21,50.0,-962.0,228.0,42.0,-28.0,-174.0
22,55.0,-967.0,228.0,34.0,-22.0,-165.0
23,65.0,-977.0,215.0,18.0,-16.0,-162.0
24,63.0,-993.0,194.0,4.0,4.0,-157.0
25,58.0,-982.0,212.0,18.0,12.0,-147.0
26,68.0,-990.0,200.0,12.0,10.0,-141.0
27,66.0,-973.0,216.0,19.0,9.0,-128.0
28,55.0,-971.0,226.0,20.0,4.0,-109.0
29,55.0,-995.0,214.0,21.0,-19.0,-100.0
30,63.0,-960.0,220.0,48.0,-23.0,-89.0
31,63.0,-969.0,221.0,-31.0,40.0,43.0
32,54.0,-984.0,199.0,-14.0,89.0,25.0
33,49.0,-986.0,206.0,1.0,91.0,19.0
34,41.0,-985.0,196.0,22.0,97.0,15.0
35,44.0,-987.0,205.0,38.0,96.0,5.0
36,38.0,-979.0,213.0,52.0,99.0,0.0
37,41.0,-984.0,211.0,49.0,98.0,-11.0
38,44.0,-971.0,227.0,54.0,94.0,-14.0
39,54.0,-969.0,223.0,48.0,87.0,-10.0
40,57.0,-983.0,206.0,42.0,97.0,-8.0
