sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,17.0,-970.0,210.0,8.0,65.0,-14.0
1,13.0,-972.0,207.0,-5.0,68.0,-23.0
2,14.0,-972.0,209.0,-6.0,66.0,-23.0
3,14.0,-972.0,208.0,-9.0,65.0,-24.0
4,15.0,-978.0,200.0,-13.0,65.0,-25.0
5,14.0,-971.0,208.0,-9.0,65.0,-26.0
6,15.0,-969.0,209.0,-10.0,62.0,-24.0
7,16.0,-974.0,206.0,-16.0,61.0,-23.0
8,19.0,-978.0,205.0,-20.0,62.0,-22.0
9,15.0,-978.0,205.0,-21.0,63.0,-21.0
10,9.0,-975.0,209.0,-19.0,62.0,-22.0
11,18.0,-977.0,205.0,-16.0,60.0,-30.0
12,25.0,-976.0,204.0,-14.0,49.0,-51.0
13,0.0,-976.0,204.0,80.0,-79.0,-70.0
14,30.0,-978.0,212.0,93.0,-108.0,-88.0
15,20.0,-1014.0,184.0,103.0,-102.0,-101.0
16,55.0,-1023.0,139.0,147.0,-97.0,-117.0
17,71.0,-983.0,192.0,211.0,-105.0,-104.0
18,39.0,-972.0,227.0,234.0,-88.0,-87.0
19,22.0,-976.0,214.0,241.0,-65.0,-102.0
20,63.0,-949.0,247.0,246.0,-71.0,-116.0
21,105.0,-915.0,265.0,212.0,-58.0,-112.0
22,60.0,-936.0,243.0,155.0,8.0,-103.0
23,78.0,-982.0,222.0,-26.0,92.0,-79.0
24,73.0,-964.0,230.0,42.0,151.0,31.0
25,35.0,-971.0,244.0,36.0,101.0,29.0
26,44.0,-956.0,250.0,43.0,100.0,31.0
27,50.0,-963.0,235.0,42.0,107.0,39.0
28,24.0,-961.0,251.0,53.0,118.0,45.0
29,37.0,-972.0,257.0,54.0,104.0,40.0
30,72.0,-1049.0,193.0,47.0,115.0,37.0
31,32.0,-1015.0,229.0,116.0,139.0,55.0
32,44.0,-972.0,253.0,160.0,124.0,68.0
33,61.0,-1012.0,232.0,158.0,131.0,72.0
34,-140.0,-1340.0,371.0,887.0,85.0,53.0
35,-185.0,-1266.0,363.0,1215.0,-20.0,118.0
36,-123.0,-1071.0,309.0,1399.0,-127.0,169.0
37,-141.0,-1195.0,324.0,1282.0,-144.0,114.0
38,-157.0,-1283.0,357.0,1287.0,-195.0,45.0
39,-75.0,-1361.0,368.0,1328.0,-260.0,24.0
40,58.0,-1336.0,360.0,1432.0,-293.0,29.0
41,77.0,-1314.0,354.0,1512.0,-237.0,23.0
42,46.0,-1304.0,355.0,1564.0,-182.0,2.0
43,-3.0,-1284.0,356.0,1615.0,-157.0,-25.0
44,-54.0,-1286.0,363.0,1655.0,-159.0,-56.0
45,6.0,-947.0,122.0,3291.0,1066.0,-295.0
46,602.0,-338.0,-570.0,-1668.0,-369.0,491.0
47,475.0,-448.0,-595.0,-1956.0,115.0,555.0
48,308.0,-432.0,-575.0,-2084.0,476.0,559.0
49,171.0,-400.0,-557.0,-2272.0,666.0,483.0
50,81.0,-370.0,-525.0,-2529.0,734.0,393.0
51,14.0,-369.0,-485.0,-2879.0,744.0,335.0
52,-19.0,-547.0,-435.0,-3336.0,713.0,315.0
53,19.0,-830.0,-370.0,-3687.0,617.0,295.0
54,50.0,-951.0,-272.0,-3742.0,552.0,230.0
55,31.0,-1006.0,-191.0,-3741.0,537.0,113.0
56,-214.0,-1934.0,734.0,-3020.0,-1187.0,-818.0
57,12.0,-959.0,1458.0,546.0,413.0,130.0
58,72.0,-892.0,1043.0,662.0,504.0,73.0
59,50.0,-1096.0,763.0,571.0,536.0,153.0
60,-18.0,-1223.0,604.0,654.0,498.0,281.0
61,-97.0,-1124.0,536.0,901.0,390.0,357.0
62,-144.0,-1066.0,461.0,1006.0,206.0,365.0
63,-268.0,-1079.0,379.0,1016.0,54.0,332.0
64,-333.0,-1210.0,427.0,1062.0,-193.0,364.0
65,-261.0,-1895.0,309.0,1268.0,-579.0,485.0
66,-17.0,-567.0,312.0,2845.0,-748.0,387.0
67,127.0,-1959.0,-1409.0,1870.0,-1035.0,362.0
68,-207.0,-1770.0,-827.0,3400.0,-1146.0,517.0
69,-67.0,-702.0,463.0,4217.0,-1782.0,513.0
70,702.0,-363.0,885.0,2956.0,-2142.0,383.0
71,750.0,-503.0,752.0,2010.0,-852.0,315.0
72,281.0,-832.0,290.0,1406.0,634.0,284.0
73,-216.0,-1082.0,137.0,1023.0,1185.0,115.0
74,16.0,-981.0,241.0,212.0,73.0,28.0
75,68.0,-966.0,256.0,163.0,214.0,52.0
76,102.0,-948.0,257.0,171.0,221.0,55.0
77,64.0,-954.0,269.0,174.0,273.0,77.0
78,40.0,-958.0,271.0,179.0,286.0,93.0
79,61.0,-968.0,266.0,187.0,268.0,103.0
80,104.0,-995.0,272.0,202.0,258.0,122.0
81,72.0,-1037.0,270.0,225.0,304.0,149.0
82,66.0,-1038.0,265.0,259.0,338.0,163.0
83,52.0,-1042.0,267.0,286.0,358.0,173.0
84,42.0,-1032.0,279.0,307.0,372.0,168.0
85,0.0,-1037.0,286.0,331.0,399.0,139.0
86,-11.0,-1057.0,298.0,356.0,387.0,73.0
87,5.0,-1056.0,296.0,397.0,351.0,-25.0
88,23.0,-1044.0,291.0,444.0,327.0,-106.0
89,20.0,-1029.0,300.0,489.0,305.0,-149.0
90,122.0,-1205.0,403.0,1194.0,-312.0,20.0
91,676.0,-1959.0,8.0,3051.0,760.0,-1029.0
92,464.0,-1959.0,-77.0,3389.0,1227.0,-1108.0
93,430.0,-1959.0,-191.0,3719.0,1358.0,-1006.0
94,151.0,-1651.0,-142.0,4136.0,1611.0,-910.0
95,-253.0,-1273.0,410.0,4138.0,1599.0,-935.0
96,-188.0,-1291.0,481.0,3782.0,1227.0,-858.0
97,-6.0,-1095.0,290.0,3812.0,1116.0,-650.0
98,121.0,-692.0,31.0,3890.0,1102.0,-385.0
99,194.0,-384.0,-175.0,3595.0,998.0,-222.0
100,271.0,-252.0,-290.0,2935.0,775.0,-262.0
101,470.0,-378.0,-694.0,2141.0,647.0,-387.0
102,336.0,-548.0,-295.0,-3702.0,235.0,-296.0
103,83.0,-1864.0,202.0,-4001.0,22.0,-811.0
104,121.0,-1939.0,236.0,-3844.0,108.0,-889.0
105,39.0,-1935.0,296.0,-3687.0,281.0,-993.0
106,-51.0,-1959.0,366.0,-3618.0,415.0,-1034.0
107,-181.0,-1959.0,478.0,-3496.0,513.0,-1027.0
108,-344.0,-1959.0,592.0,-3236.0,556.0,-1063.0
109,-523.0,-1959.0,729.0,-2857.0,510.0,-1134.0
110,-635.0,-1938.0,829.0,-2443.0,352.0,-1120.0
111,-725.0,-1612.0,981.0,-2218.0,159.0,-904.0
112,-521.0,-1341.0,1078.0,-2410.0,-243.0,-537.0
113,-296.0,-1150.0,1172.0,-2763.0,-522.0,-321.0
114,398.0,-1902.0,-681.0,809.0,-150.0,286.0
115,127.0,-981.0,140.0,997.0,215.0,160.0
116,120.0,-944.0,182.0,977.0,123.0,232.0
117,69.0,-923.0,189.0,894.0,109.0,244.0
118,37.0,-920.0,211.0,785.0,111.0,224.0
119,32.0,-926.0,223.0,693.0,76.0,200.0
120,41.0,-930.0,233.0,607.0,27.0,172.0
121,59.0,-908.0,274.0,503.0,4.0,135.0
122,61.0,-942.0,225.0,346.0,32.0,107.0
123,45.0,-973.0,219.0,255.0,78.0,81.0
124,29.0,-973.0,212.0,212.0,108.0,45.0
125,28.0,-968.0,220.0,165.0,96.0,-2.0
126,83.0,-1000.0,200.0,183.0,309.0,46.0
127,25.0,-1010.0,255.0,411.0,364.0,110.0
128,23.0,-1010.0,259.0,410.0,342.0,89.0
129,34.0,-1013.0,263.0,412.0,323.0,71.0
130,47.0,-1030.0,264.0,414.0,299.0,51.0
131,30.0,-1046.0,272.0,445.0,297.0,25.0
132,26.0,-1078.0,263.0,487.0,274.0,-11.0
133,9.0,-1050.0,288.0,556.0,247.0,-49.0
134,1.0,-1060.0,311.0,598.0,207.0,-82.0
135,-15.0,-1065.0,321.0,652.0,175.0,-126.0
136,-13.0,-1079.0,305.0,702.0,138.0,-152.0
137,-12.0,-1073.0,320.0,770.0,105.0,-159.0
138,40.0,-1487.0,399.0,1728.0,2.0,-255.0
139,-59.0,-1676.0,430.0,1848.0,27.0,-322.0
140,72.0,-1850.0,437.0,2018.0,-93.0,-345.0
141,433.0,-1933.0,359.0,2253.0,-258.0,-369.0
142,549.0,-1959.0,319.0,2458.0,-88.0,-514.0
143,586.0,-1959.0,297.0,2714.0,156.0,-649.0
144,684.0,-1959.0,187.0,3003.0,328.0,-718.0
145,702.0,-1959.0,-38.0,3331.0,661.0,-765.0
146,185.0,-808.0,-606.0,-3476.0,-1440.0,591.0
147,61.0,-404.0,-540.0,-2369.0,-939.0,682.0
148,149.0,-42.0,-497.0,-2271.0,-950.0,703.0
149,191.0,28.0,-485.0,-2699.0,-901.0,648.0
150,159.0,-151.0,-476.0,-3297.0,-781.0,607.0
151,130.0,-302.0,-491.0,-3668.0,-641.0,606.0
152,180.0,-427.0,-492.0,-3915.0,-575.0,619.0
153,291.0,-597.0,-486.0,-4124.0,-490.0,602.0
154,396.0,-777.0,-444.0,-4204.0,-283.0,513.0
155,421.0,-844.0,-370.0,-4114.0,36.0,387.0
156,260.0,-833.0,-255.0,-4022.0,413.0,285.0
157,286.0,-1942.0,482.0,-3574.0,-393.0,-652.0
158,265.0,-1910.0,511.0,-3417.0,-390.0,-753.0
159,145.0,-1815.0,595.0,-3306.0,-319.0,-951.0
160,-174.0,-1605.0,699.0,-3331.0,-213.0,-1141.0
161,-662.0,-1527.0,809.0,-3662.0,-181.0,-1052.0
162,-802.0,-1891.0,864.0,-4207.0,-600.0,-593.0
163,-568.0,-1959.0,957.0,-4188.0,-1164.0,-6.0
164,-88.0,-1959.0,1130.0,-3455.0,-1576.0,351.0
165,713.0,-1861.0,1234.0,-2805.0,-1849.0,307.0
166,1584.0,-1551.0,1358.0,-2303.0,-1661.0,-24.0
167,1450.0,-1290.0,1604.0,-1918.0,-429.0,-556.0
168,570.0,-1959.0,-1843.0,1957.0,117.0,435.0
169,96.0,-1590.0,-757.0,4190.0,276.0,964.0
170,-496.0,221.0,1379.0,5204.0,-170.0,1021.0
171,-222.0,-289.0,1135.0,2528.0,-461.0,366.0
172,332.0,-689.0,406.0,1631.0,-243.0,-4.0
173,2.0,-1113.0,-179.0,1130.0,545.0,114.0
174,-39.0,-1122.0,-3.0,1179.0,140.0,173.0
175,70.0,-723.0,373.0,1481.0,-296.0,187.0
176,139.0,-817.0,218.0,1118.0,-164.0,89.0
177,169.0,-980.0,88.0,832.0,135.0,31.0
178,54.0,-1012.0,126.0,745.0,257.0,73.0
179,95.0,-984.0,181.0,232.0,99.0,-40.0
180,71.0,-1019.0,213.0,211.0,248.0,154.0
181,33.0,-1027.0,230.0,234.0,281.0,167.0
182,37.0,-1029.0,224.0,250.0,280.0,168.0
183,82.0,-1041.0,214.0,270.0,270.0,168.0
184,71.0,-1024.0,226.0,307.0,297.0,185.0
185,26.0,-1031.0,231.0,326.0,335.0,189.0
186,13.0,-1023.0,242.0,347.0,327.0,169.0
187,-5.0,-1050.0,239.0,364.0,319.0,141.0
188,113.0,-1322.0,372.0,1235.0,-74.0,14.0
189,38.0,-1387.0,393.0,1347.0,-16.0,-17.0
190,-28.0,-1458.0,397.0,1471.0,-3.0,-40.0
191,-150.0,-1576.0,411.0,1604.0,-7.0,-69.0
192,-250.0,-1760.0,458.0,1750.0,-75.0,-92.0
193,-21.0,-1931.0,407.0,1948.0,-293.0,-101.0
194,295.0,-1959.0,326.0,2228.0,-414.0,-166.0
195,358.0,-1959.0,323.0,2484.0,-263.0,-330.0
196,390.0,-1959.0,267.0,2684.0,-48.0,-521.0
197,355.0,-1959.0,192.0,2987.0,105.0,-781.0
198,345.0,-1959.0,141.0,3266.0,226.0,-934.0
199,409.0,-1959.0,-32.0,3606.0,362.0,-960.0
200,409.0,-1959.0,-153.0,3979.0,642.0,-901.0
201,491.0,-1847.0,-717.0,4385.0,1022.0,-781.0
202,277.0,-1404.0,-705.0,4634.0,1443.0,-725.0
203,-54.0,-498.0,-534.0,-2012.0,-338.0,344.0
204,172.0,-629.0,-227.0,-3587.0,-380.0,168.0
205,338.0,-1764.0,597.0,-3659.0,-569.0,-21.0
206,41.0,-1374.0,633.0,-1645.0,-50.0,-367.0
207,-452.0,-1093.0,1483.0,-1004.0,-289.0,-214.0
208,-514.0,-1070.0,1567.0,-688.0,-382.0,-123.0
209,-491.0,-1152.0,1531.0,-379.0,-536.0,-12.0
210,-379.0,-1119.0,1408.0,41.0,-708.0,62.0
211,-212.0,-1073.0,1231.0,404.0,-811.0,105.0
212,-90.0,-1069.0,1038.0,664.0,-794.0,99.0
213,-92.0,-1006.0,900.0,903.0,-684.0,73.0
214,-133.0,-1394.0,922.0,1035.0,-624.0,61.0
215,123.0,-1189.0,439.0,1787.0,-664.0,20.0
216,192.0,-256.0,492.0,2538.0,-371.0,-58.0
217,233.0,-1324.0,-118.0,1052.0,-163.0,-143.0
218,91.0,-937.0,191.0,581.0,-56.0,-106.0
219,96.0,-917.0,215.0,530.0,-77.0,-83.0
220,98.0,-909.0,223.0,457.0,-61.0,-58.0
221,58.0,-937.0,224.0,372.0,-25.0,-55.0
222,85.0,-991.0,182.0,287.0,-37.0,-73.0
223,134.0,-1001.0,186.0,256.0,-36.0,-78.0
224,105.0,-969.0,203.0,177.0,102.0,-143.0
225,105.0,-948.0,217.0,162.0,112.0,-133.0
226,70.0,-958.0,221.0,120.0,134.0,-122.0
227,64.0,-964.0,212.0,87.0,129.0,-135.0
228,77.0,-965.0,213.0,61.0,123.0,-166.0
229,123.0,-954.0,215.0,41.0,114.0,-190.0
230,142.0,-946.0,215.0,21.0,151.0,-188.0
231,97.0,-960.0,213.0,-3.0,228.0,-171.0
