sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,279.0,-939.0,127.0,29.0,55.0,10.0
1,271.0,-943.0,127.0,23.0,68.0,32.0
2,267.0,-946.0,121.0,14.0,77.0,46.0
3,254.0,-956.0,122.0,10.0,87.0,52.0
4,255.0,-950.0,122.0,11.0,88.0,50.0
5,246.0,-954.0,121.0,1.0,98.0,41.0
6,242.0,-959.0,123.0,-3.0,105.0,29.0
7,239.0,-969.0,119.0,-7.0,112.0,14.0
8,236.0,-985.0,102.0,-6.0,118.0,-3.0
9,257.0,-947.0,134.0,24.0,109.0,-12.0
10,256.0,-947.0,133.0,16.0,113.0,-6.0
11,270.0,-994.0,116.0,155.0,133.0,257.0
12,207.0,-1092.0,159.0,269.0,89.0,171.0
13,172.0,-1138.0,163.0,665.0,-48.0,200.0
14,211.0,-1129.0,179.0,748.0,-51.0,194.0
15,206.0,-1114.0,178.0,808.0,-3.0,162.0
16,201.0,-1084.0,164.0,851.0,29.0,124.0
17,247.0,-1052.0,163.0,859.0,43.0,63.0
18,300.0,-1075.0,207.0,824.0,100.0,7.0
19,250.0,-1142.0,251.0,796.0,217.0,-34.0
20,227.0,-1160.0,260.0,842.0,264.0,-47.0
21,200.0,-1182.0,258.0,894.0,300.0,-47.0
22,186.0,-1195.0,243.0,958.0,309.0,-55.0
23,155.0,-1192.0,227.0,1029.0,300.0,-78.0
24,584.0,-1331.0,272.0,2219.0,-170.0,-193.0
25,651.0,-1312.0,231.0,2307.0,-68.0,-181.0
26,704.0,-1261.0,209.0,2400.0,36.0,-185.0
27,701.0,-1218.0,198.0,2466.0,188.0,-237.0
28,629.0,-1175.0,214.0,2513.0,360.0,-294.0
29,549.0,-1094.0,232.0,2556.0,483.0,-338.0
30,456.0,-996.0,217.0,2573.0,600.0,-368.0
31,357.0,-804.0,212.0,2569.0,694.0,-403.0
32,250.0,-530.0,214.0,2455.0,740.0,-418.0
33,140.0,-428.0,165.0,2083.0,729.0,-354.0
34,114.0,-535.0,-308.0,-2627.0,173.0,482.0
35,259.0,-1299.0,99.0,-3204.0,-588.0,179.0
36,211.0,-1781.0,459.0,-2791.0,-604.0,4.0
37,257.0,-1826.0,454.0,-2630.0,-508.0,14.0
38,452.0,-1574.0,505.0,-2314.0,-500.0,16.0
39,540.0,-1374.0,497.0,-2147.0,-325.0,3.0
40,410.0,-1276.0,535.0,-2113.0,-86.0,-69.0
41,298.0,-1315.0,545.0,-2135.0,30.0,-149.0
42,289.0,-1353.0,623.0,-2065.0,67.0,-196.0
43,261.0,-1378.0,752.0,-1914.0,166.0,-238.0
44,274.0,-1357.0,870.0,-1695.0,280.0,-270.0
45,123.0,-1312.0,944.0,-1440.0,492.0,-240.0
46,103.0,-1215.0,912.0,-1176.0,572.0,-164.0
47,282.0,-1088.0,69.0,788.0,-707.0,-14.0
48,187.0,-920.0,130.0,997.0,391.0,-290.0
49,136.0,-1029.0,-69.0,825.0,412.0,-338.0
50,136.0,-1034.0,-45.0,842.0,354.0,-392.0
51,158.0,-965.0,0.0,880.0,339.0,-443.0
52,185.0,-1006.0,-105.0,818.0,350.0,-477.0
53,222.0,-1086.0,-180.0,838.0,324.0,-505.0
54,192.0,-1019.0,-91.0,1068.0,281.0,-503.0
55,225.0,-891.0,-37.0,1211.0,179.0,-514.0
56,206.0,-706.0,211.0,1253.0,76.0,-478.0
57,424.0,-781.0,220.0,970.0,-129.0,-386.0
58,335.0,-908.0,97.0,696.0,105.0,-251.0
59,263.0,-919.0,113.0,197.0,80.0,-11.0
60,320.0,-984.0,69.0,66.0,97.0,-322.0
61,323.0,-918.0,123.0,147.0,57.0,-259.0
62,312.0,-917.0,120.0,126.0,50.0,-208.0
63,327.0,-949.0,87.0,88.0,38.0,-171.0
64,366.0,-921.0,91.0,124.0,22.0,-126.0
65,326.0,-930.0,92.0,112.0,73.0,-80.0
66,317.0,-937.0,112.0,101.0,83.0,-59.0
67,311.0,-914.0,114.0,99.0,92.0,-42.0
68,303.0,-913.0,116.0,85.0,97.0,-31.0
69,291.0,-900.0,133.0,88.0,108.0,-22.0
70,318.0,-908.0,113.0,71.0,92.0,-12.0
71,374.0,-956.0,105.0,104.0,90.0,95.0
72,230.0,-883.0,177.0,270.0,254.0,344.0
73,186.0,-911.0,182.0,246.0,254.0,333.0
74,203.0,-920.0,187.0,230.0,219.0,306.0
75,168.0,-921.0,195.0,213.0,217.0,285.0
76,160.0,-935.0,185.0,193.0,188.0,258.0
77,155.0,-976.0,201.0,174.0,143.0,217.0
78,225.0,-992.0,169.0,157.0,93.0,164.0
79,193.0,-1006.0,171.0,172.0,91.0,141.0
80,157.0,-1007.0,180.0,189.0,87.0,105.0
81,205.0,-1003.0,186.0,184.0,30.0,54.0
82,262.0,-989.0,186.0,182.0,7.0,29.0
83,188.0,-994.0,203.0,181.0,69.0,17.0
84,210.0,-1007.0,196.0,171.0,57.0,-22.0
85,229.0,-1024.0,191.0,179.0,55.0,-49.0
86,232.0,-1034.0,192.0,209.0,65.0,-58.0
87,445.0,-1169.0,246.0,1185.0,49.0,-114.0
88,330.0,-1691.0,219.0,2618.0,264.0,-613.0
89,353.0,-1661.0,204.0,2875.0,298.0,-638.0
90,362.0,-1600.0,293.0,3112.0,328.0,-614.0
91,367.0,-1652.0,385.0,3236.0,344.0,-553.0
92,391.0,-1578.0,233.0,3492.0,369.0,-435.0
93,488.0,-1399.0,22.0,3668.0,318.0,-342.0
94,565.0,-1281.0,-115.0,3641.0,278.0,-297.0
95,493.0,-1287.0,-173.0,3513.0,371.0,-292.0
96,398.0,-1272.0,-181.0,3506.0,428.0,-242.0
97,416.0,-954.0,-239.0,3655.0,386.0,-100.0
98,303.0,-317.0,-220.0,3672.0,400.0,69.0
99,-19.0,-465.0,-416.0,-3378.0,180.0,764.0
100,66.0,-1802.0,277.0,-4003.0,-719.0,133.0
101,152.0,-1887.0,310.0,-3861.0,-899.0,-1.0
102,221.0,-1914.0,365.0,-3671.0,-1017.0,-107.0
103,318.0,-1879.0,393.0,-3455.0,-1068.0,-217.0
104,277.0,-1524.0,444.0,-3204.0,-973.0,-365.0
105,218.0,-1326.0,481.0,-3353.0,-911.0,-462.0
106,306.0,-1575.0,461.0,-3795.0,-904.0,-361.0
107,294.0,-1900.0,522.0,-3950.0,-714.0,-126.0
108,252.0,-1959.0,648.0,-3705.0,-493.0,82.0
109,260.0,-1847.0,751.0,-3341.0,-289.0,199.0
110,352.0,-1638.0,798.0,-3112.0,-112.0,244.0
111,411.0,-852.0,349.0,2046.0,41.0,-359.0
112,176.0,-921.0,93.0,1340.0,65.0,-460.0
113,248.0,-934.0,27.0,1220.0,94.0,-472.0
114,188.0,-982.0,-53.0,1100.0,161.0,-443.0
115,74.0,-885.0,145.0,1105.0,121.0,-422.0
116,315.0,-827.0,185.0,984.0,-179.0,-393.0
117,337.0,-902.0,76.0,770.0,-91.0,-328.0
118,303.0,-931.0,94.0,683.0,35.0,-253.0
119,285.0,-897.0,140.0,626.0,67.0,-164.0
120,261.0,-959.0,92.0,484.0,104.0,-121.0
121,199.0,-971.0,98.0,424.0,176.0,-127.0
122,203.0,-939.0,130.0,409.0,154.0,-147.0
123,182.0,-1030.0,150.0,8.0,189.0,-183.0
124,228.0,-1022.0,127.0,14.0,184.0,-207.0
125,231.0,-1007.0,128.0,44.0,192.0,-200.0
126,259.0,-1008.0,110.0,51.0,187.0,-192.0
127,337.0,-974.0,97.0,80.0,153.0,-153.0
128,311.0,-930.0,126.0,106.0,198.0,-73.0
129,252.0,-920.0,150.0,106.0,249.0,-6.0
130,213.0,-924.0,138.0,99.0,269.0,30.0
131,213.0,-948.0,113.0,107.0,245.0,55.0
132,255.0,-928.0,119.0,156.0,203.0,96.0
133,301.0,-891.0,146.0,204.0,175.0,156.0
134,252.0,-1005.0,155.0,147.0,171.0,172.0
135,258.0,-1003.0,164.0,172.0,201.0,196.0
136,202.0,-1010.0,181.0,186.0,270.0,209.0
137,140.0,-1017.0,196.0,180.0,317.0,199.0
138,116.0,-1042.0,180.0,165.0,320.0,179.0
139,142.0,-1057.0,161.0,178.0,291.0,150.0
140,162.0,-1057.0,165.0,231.0,260.0,130.0
141,188.0,-1070.0,161.0,283.0,225.0,121.0
142,141.0,-1073.0,181.0,356.0,234.0,110.0
143,154.0,-1099.0,170.0,410.0,203.0,73.0
144,156.0,-1089.0,210.0,505.0,185.0,24.0
145,132.0,-1465.0,311.0,1463.0,328.0,-262.0
146,148.0,-1507.0,290.0,1580.0,306.0,-270.0
147,161.0,-1550.0,276.0,1688.0,318.0,-305.0
148,98.0,-1582.0,248.0,1805.0,371.0,-346.0
149,-2.0,-1638.0,239.0,1922.0,391.0,-374.0
150,-45.0,-1753.0,239.0,2053.0,322.0,-410.0
151,76.0,-1855.0,283.0,2301.0,177.0,-447.0
152,239.0,-1877.0,262.0,2665.0,122.0,-504.0
153,-468.0,-443.0,-629.0,-1073.0,969.0,540.0
154,495.0,-643.0,-467.0,-3390.0,-975.0,319.0
155,365.0,-734.0,-296.0,-3430.0,-673.0,337.0
156,310.0,-726.0,-193.0,-3467.0,-541.0,369.0
157,257.0,-869.0,-91.0,-3641.0,-458.0,398.0
158,178.0,-1055.0,-16.0,-3769.0,-375.0,439.0
159,14.0,-1168.0,75.0,-3760.0,-320.0,502.0
160,8.0,-1254.0,122.0,-3745.0,-466.0,541.0
161,-9.0,-1288.0,162.0,-3733.0,-609.0,525.0
162,81.0,-1427.0,181.0,-3792.0,-814.0,485.0
163,199.0,-1540.0,236.0,-3771.0,-959.0,431.0
164,324.0,-1620.0,298.0,-3684.0,-1010.0,366.0
165,477.0,-1617.0,339.0,-3549.0,-997.0,312.0
166,634.0,-1597.0,359.0,-3448.0,-902.0,250.0
167,749.0,-1656.0,371.0,-3399.0,-709.0,181.0
168,801.0,-1700.0,401.0,-3303.0,-440.0,108.0
169,36.0,-1430.0,1037.0,-1369.0,1136.0,-255.0
170,-251.0,-1018.0,1022.0,-910.0,1176.0,-276.0
171,-252.0,-946.0,1006.0,-915.0,879.0,-279.0
172,-112.0,-1291.0,944.0,-1041.0,598.0,-227.0
173,-141.0,-1279.0,992.0,-654.0,552.0,-151.0
