sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,-45.0,-977.0,186.0,-12.0,111.0,-67.0
1,-37.0,-981.0,186.0,-12.0,99.0,-71.0
2,-32.0,-979.0,186.0,-11.0,93.0,-67.0
3,-36.0,-978.0,185.0,-9.0,90.0,-66.0
4,-34.0,-980.0,185.0,-6.0,83.0,-65.0
5,-38.0,-975.0,190.0,-4.0,78.0,-65.0
6,-34.0,-979.0,186.0,-7.0,74.0,-68.0
7,-28.0,-980.0,184.0,-8.0,73.0,-70.0
8,-35.0,-978.0,186.0,-7.0,75.0,-71.0
9,-13.0,-976.0,187.0,-3.0,33.0,-104.0
10,-16.0,-977.0,187.0,-2.0,34.0,-103.0
11,-15.0,-980.0,186.0,0.0,32.0,-103.0
12,-20.0,-981.0,182.0,2.0,36.0,-107.0
13,-25.0,-978.0,181.0,9.0,36.0,-114.0
14,-23.0,-971.0,195.0,17.0,31.0,-122.0
15,-4.0,-969.0,193.0,11.0,23.0,-124.0
16,0.0,-983.0,180.0,2.0,29.0,-118.0
17,-7.0,-978.0,187.0,8.0,27.0,-113.0
18,8.0,-975.0,192.0,32.0,0.0,-212.0
19,42.0,-966.0,202.0,55.0,37.0,-205.0
20,43.0,-970.0,197.0,36.0,38.0,-201.0
21,44.0,-969.0,203.0,27.0,32.0,-196.0
22,42.0,-967.0,202.0,16.0,30.0,-193.0
23,38.0,-978.0,196.0,3.0,28.0,-193.0
24,58.0,-973.0,201.0,0.0,12.0,-187.0
25,82.0,-970.0,198.0,-14.0,6.0,-169.0
26,76.0,-974.0,197.0,-23.0,17.0,-143.0
27,67.0,-1018.0,141.0,-68.0,26.0,-42.0
28,73.0,-987.0,172.0,16.0,14.0,-28.0
29,75.0,-977.0,183.0,20.0,11.0,-14.0
30,78.0,-967.0,194.0,22.0,6.0,3.0
31,75.0,-975.0,189.0,13.0,8.0,14.0
32,74.0,-980.0,183.0,11.0,12.0,23.0
33,84.0,-977.0,184.0,19.0,15.0,29.0
34,77.0,-973.0,190.0,22.0,27.0,38.0
35,72.0,-975.0,190.0,19.0,38.0,41.0
36,67.0,-973.0,191.0,19.0,47.0,41.0
37,57.0,-990.0,182.0,20.0,59.0,34.0
38,69.0,-990.0,170.0,37.0,68.0,22.0
39,24.0,-989.0,205.0,96.0,238.0,81.0
