sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,339.0,-1151.0,615.0,-1655.0,-303.0,-393.0
1,324.0,-1198.0,708.0,-1541.0,-138.0,-457.0
2,215.0,-1223.0,803.0,-1403.0,96.0,-513.0
3,67.0,-1221.0,880.0,-1255.0,326.0,-549.0
4,-71.0,-1231.0,942.0,-1108.0,513.0,-537.0
5,-150.0,-1322.0,995.0,-947.0,665.0,-483.0
6,-214.0,-1552.0,1001.0,-695.0,809.0,-441.0
7,-219.0,-1575.0,963.0,-148.0,921.0,-420.0
8,-110.0,-934.0,303.0,269.0,202.0,234.0
9,-55.0,-894.0,299.0,160.0,149.0,117.0
10,1.0,-937.0,236.0,53.0,145.0,51.0
11,17.0,-941.0,239.0,39.0,161.0,20.0
12,5.0,-939.0,258.0,31.0,127.0,15.0
13,-17.0,-971.0,235.0,-4.0,78.0,11.0
14,-18.0,-992.0,205.0,-19.0,21.0,-11.0
15,-6.0,-990.0,216.0,-7.0,-38.0,-38.0
16,-18.0,-999.0,225.0,2.0,-70.0,-65.0
17,57.0,-1003.0,197.0,3.0,-113.0,-100.0
18,93.0,-975.0,213.0,34.0,-110.0,-94.0
19,48.0,-982.0,191.0,24.0,-1.0,-43.0
20,60.0,-962.0,218.0,-47.0,73.0,-56.0
21,58.0,-970.0,216.0,-54.0,78.0,-60.0
22,71.0,-967.0,214.0,-58.0,80.0,-64.0
23,66.0,-981.0,206.0,-69.0,93.0,-58.0
24,67.0,-968.0,220.0,-66.0,96.0,-50.0
25,84.0,-965.0,218.0,-76.0,97.0,-41.0
26,73.0,-963.0,220.0,-86.0,117.0,-30.0
27,66.0,-970.0,216.0,-98.0,137.0,-22.0
28,59.0,-986.0,204.0,-108.0,153.0,-25.0
29,65.0,-993.0,195.0,-109.0,161.0,-28.0
30,71.0,-982.0,202.0,-95.0,160.0,-18.0
31,69.0,-975.0,204.0,-96.0,166.0,-1.0
32,48.0,-972.0,206.0,-114.0,150.0,-24.0
33,82.0,-1056.0,185.0,129.0,111.0,146.0
34,77.0,-1080.0,183.0,165.0,147.0,173.0
35,93.0,-1113.0,189.0,193.0,166.0,199.0
36,122.0,-1151.0,189.0,219.0,183.0,236.0
37,136.0,-1208.0,181.0,241.0,218.0,280.0
38,135.0,-1290.0,184.0,264.0,266.0,305.0
39,121.0,-1370.0,179.0,277.0,321.0,286.0
40,70.0,-1521.0,236.0,303.0,359.0,217.0
41,110.0,-1795.0,202.0,368.0,359.0,45.0
42,193.0,-1806.0,296.0,797.0,344.0,-153.0
43,71.0,-1735.0,331.0,1257.0,407.0,-382.0
44,568.0,-454.0,-645.0,-751.0,117.0,-269.0
45,69.0,-929.0,68.0,-2190.0,2090.0,-990.0
46,-118.0,-1400.0,351.0,-1396.0,1004.0,-1373.0
47,-182.0,-1359.0,328.0,-1216.0,1002.0,-1363.0
48,-270.0,-1360.0,278.0,-1083.0,1023.0,-1359.0
49,-501.0,-1241.0,237.0,-920.0,1155.0,-1285.0
50,-602.0,-1171.0,236.0,-868.0,1158.0,-1093.0
51,-451.0,-1156.0,223.0,-892.0,979.0,-844.0
52,-207.0,-1098.0,232.0,-874.0,897.0,-616.0
53,-70.0,-1087.0,217.0,-864.0,970.0,-474.0
54,-90.0,-1057.0,199.0,-808.0,1096.0,-427.0
55,-182.0,-1063.0,193.0,-755.0,1127.0,-408.0
56,-279.0,-1054.0,215.0,-676.0,1038.0,-375.0
57,164.0,-1040.0,158.0,334.0,-215.0,269.0
58,39.0,-977.0,132.0,678.0,206.0,404.0
59,155.0,-961.0,132.0,653.0,34.0,358.0
60,214.0,-941.0,148.0,633.0,12.0,336.0
61,208.0,-956.0,131.0,580.0,99.0,311.0
62,136.0,-972.0,113.0,542.0,228.0,278.0
63,101.0,-997.0,98.0,518.0,288.0,224.0
64,109.0,-1008.0,100.0,520.0,270.0,173.0
65,128.0,-995.0,115.0,530.0,210.0,153.0
66,137.0,-991.0,121.0,534.0,127.0,160.0
67,151.0,-969.0,134.0,549.0,36.0,181.0
68,184.0,-931.0,161.0,554.0,-33.0,201.0
69,163.0,-929.0,225.0,524.0,-60.0,224.0
70,233.0,-928.0,194.0,453.0,-73.0,242.0
71,135.0,-950.0,230.0,100.0,15.0,292.0
72,75.0,-960.0,222.0,59.0,75.0,268.0
73,61.0,-983.0,202.0,11.0,102.0,206.0
74,57.0,-951.0,233.0,12.0,109.0,142.0
75,70.0,-953.0,227.0,-28.0,112.0,85.0
76,102.0,-971.0,206.0,-70.0,125.0,40.0
77,93.0,-960.0,224.0,-73.0,138.0,23.0
78,97.0,-956.0,219.0,-88.0,140.0,12.0
79,98.0,-985.0,198.0,-117.0,147.0,-2.0
80,101.0,-1002.0,179.0,-118.0,155.0,-16.0
81,111.0,-971.0,204.0,-82.0,138.0,-12.0
82,124.0,-963.0,203.0,-74.0,136.0,4.0
83,116.0,-1002.0,162.0,-83.0,162.0,21.0
84,109.0,-1001.0,171.0,-42.0,162.0,44.0
85,78.0,-988.0,201.0,83.0,105.0,113.0
86,80.0,-1002.0,185.0,89.0,104.0,119.0
87,81.0,-1004.0,185.0,107.0,106.0,125.0
88,73.0,-947.0,229.0,154.0,96.0,141.0
89,66.0,-958.0,224.0,130.0,95.0,142.0
90,65.0,-959.0,225.0,104.0,106.0,131.0
91,64.0,-952.0,228.0,100.0,106.0,129.0
92,67.0,-958.0,227.0,89.0,104.0,128.0
93,61.0,-972.0,220.0,81.0,114.0,127.0
94,73.0,-992.0,200.0,78.0,110.0,133.0
95,74.0,-986.0,207.0,104.0,104.0,155.0
