sequence,AccelerometerX,AccelerometerY,AccelerometerZ,GyroscopeX,GyroscopeY,GyroscopeZ
0,29.0,-970.0,223.0,7.0,71.0,-32.0
1,28.0,-966.0,224.0,9.0,66.0,-30.0
2,32.0,-974.0,217.0,2.0,63.0,-29.0
3,27.0,-970.0,222.0,8.0,63.0,-27.0
4,36.0,-978.0,215.0,4.0,58.0,-26.0
5,28.0,-969.0,225.0,10.0,59.0,-26.0
6,31.0,-969.0,223.0,6.0,58.0,-25.0
7,30.0,-971.0,223.0,1.0,60.0,-26.0
8,37.0,-972.0,218.0,20.0,53.0,-52.0
9,98.0,-1006.0,200.0,-30.0,37.0,-141.0
10,105.0,-991.0,212.0,-3.0,41.0,-122.0
11,104.0,-968.0,225.0,19.0,43.0,-94.0
12,107.0,-974.0,216.0,15.0,48.0,-68.0
13,100.0,-966.0,226.0,28.0,57.0,-40.0
14,93.0,-957.0,234.0,33.0,60.0,-18.0
15,88.0,-955.0,239.0,26.0,62.0,-3.0
16,78.0,-957.0,237.0,16.0,68.0,3.0
17,66.0,-966.0,229.0,7.0,73.0,-2.0
18,76.0,-971.0,226.0,5.0,70.0,-13.0
19,84.0,-956.0,240.0,13.0,68.0,-16.0
20,87.0,-949.0,253.0,123.0,164.0,27.0
21,14.0,-978.0,254.0,88.0,185.0,75.0
22,86.0,-1003.0,253.0,132.0,117.0,11.0
23,104.0,-1033.0,233.0,145.0,128.0,35.0
24,104.0,-1000.0,258.0,195.0,142.0,69.0
25,76.0,-999.0,267.0,211.0,164.0,97.0
26,65.0,-1006.0,268.0,212.0,179.0,106.0
27,61.0,-1022.0,274.0,215.0,190.0,108.0
28,26.0,-1037.0,281.0,225.0,206.0,107.0
29,3.0,-1036.0,279.0,247.0,200.0,96.0
30,-2.0,-1049.0,292.0,270.0,173.0,85.0
31,42.0,-1073.0,293.0,300.0,120.0,84.0
32,79.0,-1132.0,303.0,347.0,96.0,109.0
33,-47.0,-1679.0,325.0,1948.0,-21.0,-350.0
34,-330.0,-545.0,137.0,2958.0,-393.0,97.0
35,41.0,-371.0,-251.0,-941.0,-880.0,1117.0
36,72.0,-383.0,-250.0,-1163.0,-891.0,1151.0
37,91.0,-429.0,-230.0,-1397.0,-907.0,1186.0
38,139.0,-520.0,-219.0,-1624.0,-946.0,1229.0
39,136.0,-627.0,-183.0,-1804.0,-948.0,1263.0
40,142.0,-698.0,-149.0,-1917.0,-985.0,1280.0
41,135.0,-742.0,-122.0,-2001.0,-1031.0,1278.0
42,93.0,-787.0,-92.0,-2090.0,-1082.0,1264.0
43,113.0,-823.0,-74.0,-2182.0,-1189.0,1265.0
44,152.0,-879.0,-57.0,-2291.0,-1283.0,1278.0
45,222.0,-965.0,-28.0,-2398.0,-1350.0,1285.0
46,169.0,-1316.0,728.0,-1803.0,-403.0,523.0
47,107.0,-976.0,216.0,114.0,112.0,-412.0
48,47.0,-982.0,226.0,122.0,117.0,-404.0
49,71.0,-994.0,211.0,90.0,62.0,-425.0
50,110.0,-957.0,208.0,102.0,23.0,-414.0
51,165.0,-954.0,214.0,80.0,7.0,-365.0
52,176.0,-940.0,211.0,69.0,40.0,-286.0
53,114.0,-965.0,206.0,34.0,105.0,-218.0
54,28.0,-972.0,228.0,30.0,151.0,-217.0
55,19.0,-984.0,215.0,-2.0,143.0,-288.0
56,35.0,-993.0,201.0,-29.0,125.0,-368.0
57,211.0,-961.0,197.0,37.0,88.0,-264.0
58,191.0,-957.0,208.0,54.0,113.0,-184.0
59,176.0,-967.0,193.0,49.0,148.0,-129.0
60,150.0,-964.0,199.0,70.0,187.0,-94.0
61,120.0,-978.0,208.0,81.0,219.0,-81.0
62,112.0,-989.0,206.0,77.0,225.0,-87.0
63,98.0,-986.0,208.0,86.0,225.0,-88.0
64,115.0,-946.0,260.0,117.0,244.0,-105.0
65,87.0,-987.0,265.0,93.0,260.0,-127.0
66,140.0,-1012.0,260.0,83.0,226.0,-151.0
67,150.0,-1021.0,259.0,93.0,240.0,-155.0
68,122.0,-1074.0,249.0,109.0,261.0,-173.0
69,175.0,-1122.0,263.0,162.0,209.0,-218.0
70,231.0,-1102.0,271.0,282.0,177.0,-305.0
71,256.0,-1059.0,252.0,394.0,185.0,-379.0
72,216.0,-988.0,229.0,472.0,247.0,-400.0
73,76.0,-986.0,256.0,484.0,317.0,-381.0
74,58.0,-1000.0,275.0,485.0,281.0,-368.0
75,435.0,-1481.0,313.0,1270.0,205.0,-580.0
76,308.0,-1550.0,338.0,1380.0,401.0,-677.0
77,239.0,-1683.0,350.0,1478.0,475.0,-794.0
78,270.0,-1821.0,311.0,1620.0,472.0,-908.0
79,304.0,-1953.0,246.0,1795.0,516.0,-1012.0
80,320.0,-1959.0,143.0,2067.0,596.0,-1115.0
81,185.0,-1937.0,64.0,2393.0,780.0,-1189.0
82,-18.0,-1852.0,32.0,2703.0,923.0,-1241.0
83,-157.0,-1714.0,1.0,2979.0,965.0,-1242.0
84,-228.0,-1529.0,-48.0,3233.0,957.0,-1215.0
85,-340.0,-1344.0,12.0,3424.0,984.0,-1156.0
86,-112.0,-1146.0,-397.0,-2052.0,375.0,45.0
87,113.0,-1576.0,413.0,-3690.0,-371.0,1261.0
88,162.0,-1644.0,491.0,-3619.0,-378.0,1324.0
89,230.0,-1694.0,522.0,-3519.0,-378.0,1375.0
90,254.0,-1718.0,521.0,-3386.0,-322.0,1356.0
91,213.0,-1717.0,529.0,-3239.0,-246.0,1294.0
92,242.0,-1687.0,532.0,-3102.0,-236.0,1239.0
93,288.0,-1634.0,545.0,-2975.0,-201.0,1222.0
94,391.0,-1590.0,547.0,-2874.0,-144.0,1224.0
95,503.0,-1569.0,551.0,-2781.0,-21.0,1193.0
96,554.0,-1516.0,557.0,-2657.0,192.0,1088.0
97,581.0,-1287.0,575.0,-2506.0,417.0,901.0
98,-38.0,-963.0,1371.0,2260.0,-43.0,-717.0
99,-61.0,-1028.0,2.0,1065.0,-132.0,65.0
100,234.0,-870.0,-26.0,1297.0,-550.0,214.0
101,262.0,-914.0,9.0,1251.0,-446.0,347.0
102,-15.0,-889.0,206.0,1195.0,-6.0,330.0
103,-156.0,-810.0,289.0,1049.0,189.0,146.0
104,-172.0,-839.0,308.0,830.0,169.0,-53.0
105,-45.0,-789.0,373.0,694.0,10.0,-182.0
106,48.0,-825.0,320.0,474.0,-15.0,-232.0
107,87.0,-967.0,199.0,264.0,65.0,-235.0
108,92.0,-1022.0,144.0,211.0,111.0,-191.0
109,91.0,-1004.0,182.0,207.0,86.0,-33.0
110,70.0,-980.0,210.0,246.0,108.0,63.0
111,96.0,-988.0,201.0,235.0,115.0,83.0
112,71.0,-982.0,215.0,239.0,165.0,107.0
113,28.0,-998.0,221.0,230.0,205.0,114.0
114,1.0,-1010.0,215.0,218.0,222.0,98.0
115,18.0,-1029.0,207.0,219.0,214.0,67.0
116,43.0,-1033.0,203.0,236.0,211.0,46.0
117,50.0,-1011.0,215.0,263.0,220.0,33.0
118,40.0,-979.0,233.0,282.0,240.0,22.0
119,40.0,-1008.0,280.0,504.0,217.0,-219.0
120,260.0,-1911.0,25.0,3317.0,1077.0,-1424.0
121,-38.0,-1780.0,33.0,3547.0,1378.0,-1572.0
122,-320.0,-1512.0,-142.0,3812.0,1542.0,-1674.0
123,-732.0,-1182.0,21.0,3979.0,1544.0,-1642.0
124,-870.0,-1084.0,328.0,3755.0,940.0,-1334.0
125,-666.0,-967.0,476.0,3636.0,246.0,-899.0
126,-292.0,-744.0,453.0,3650.0,-212.0,-478.0
127,-26.0,-590.0,336.0,3557.0,-262.0,-171.0
128,26.0,-584.0,255.0,3324.0,-108.0,-19.0
129,5.0,-537.0,201.0,3132.0,-82.0,-13.0
130,-26.0,-123.0,188.0,3070.0,-141.0,-73.0
131,-130.0,-415.0,-357.0,-3275.0,-199.0,1317.0
132,312.0,-1539.0,625.0,-3303.0,760.0,234.0
133,503.0,-1638.0,674.0,-3353.0,749.0,338.0
134,560.0,-1667.0,807.0,-3236.0,901.0,280.0
135,394.0,-1735.0,995.0,-3063.0,1144.0,78.0
136,150.0,-1718.0,1229.0,-2737.0,1274.0,-105.0
137,-68.0,-1641.0,1431.0,-2316.0,1265.0,-214.0
138,-169.0,-1491.0,1537.0,-1861.0,1152.0,-279.0
139,-101.0,-1323.0,1541.0,-1453.0,993.0,-282.0
140,32.0,-1244.0,1494.0,-1144.0,919.0,-249.0
141,91.0,-1410.0,-248.0,3669.0,-344.0,-58.0
142,-78.0,-262.0,960.0,3725.0,-423.0,-20.0
143,-68.0,-594.0,777.0,1911.0,-199.0,-260.0
144,268.0,-745.0,352.0,1351.0,-105.0,-382.0
145,91.0,-996.0,51.0,984.0,265.0,-301.0
146,-45.0,-998.0,119.0,999.0,185.0,-256.0
147,33.0,-879.0,205.0,1078.0,-65.0,-235.0
148,200.0,-938.0,134.0,924.0,-97.0,-210.0
149,168.0,-941.0,152.0,859.0,114.0,-150.0
150,30.0,-968.0,153.0,789.0,210.0,-63.0
151,36.0,-1006.0,111.0,739.0,41.0,14.0
152,56.0,-976.0,227.0,281.0,5.0,-133.0
153,33.0,-959.0,237.0,279.0,26.0,-104.0
154,27.0,-979.0,236.0,254.0,40.0,-105.0
155,62.0,-1020.0,204.0,232.0,45.0,-123.0
156,64.0,-996.0,219.0,265.0,71.0,-117.0
157,60.0,-964.0,234.0,280.0,105.0,-101.0
158,39.0,-975.0,243.0,251.0,135.0,-88.0
159,62.0,-973.0,236.0,230.0,142.0,-83.0
160,50.0,-956.0,245.0,226.0,169.0,-64.0
161,26.0,-979.0,239.0,209.0,190.0,-52.0
162,11.0,-1005.0,238.0,202.0,185.0,-56.0
163,43.0,-997.0,276.0,170.0,216.0,-82.0
164,69.0,-1016.0,377.0,683.0,-4.0,-257.0
165,102.0,-1380.0,409.0,1548.0,173.0,-497.0
166,75.0,-1382.0,404.0,1650.0,214.0,-562.0
167,44.0,-1411.0,402.0,1731.0,234.0,-627.0
168,70.0,-1467.0,394.0,1816.0,212.0,-669.0
169,160.0,-1502.0,364.0,1935.0,180.0,-704.0
170,315.0,-1537.0,331.0,2060.0,166.0,-754.0
171,489.0,-1609.0,300.0,2176.0,221.0,-840.0
172,560.0,-1702.0,288.0,2308.0,415.0,-975.0
173,593.0,-1763.0,281.0,2488.0,648.0,-1108.0
174,563.0,-1755.0,217.0,2720.0,927.0,-1206.0
175,405.0,-1712.0,118.0,2934.0,1270.0,-1322.0
176,-412.0,-124.0,-432.0,-1028.0,399.0,1012.0
177,-352.0,-20.0,-466.0,-1578.0,161.0,896.0
178,-354.0,-171.0,-503.0,-2247.0,-38.0,819.0
179,-297.0,-225.0,-541.0,-2608.0,-275.0,831.0
180,-155.0,-250.0,-547.0,-2923.0,-516.0,913.0
181,-11.0,-440.0,-513.0,-3390.0,-677.0,980.0
182,89.0,-690.0,-449.0,-3704.0,-720.0,998.0
183,99.0,-816.0,-309.0,-3698.0,-630.0,1003.0
184,103.0,-860.0,-176.0,-3639.0,-591.0,976.0
185,485.0,-1490.0,502.0,-3026.0,165.0,546.0
186,462.0,-1386.0,475.0,-3045.0,396.0,452.0
187,449.0,-1422.0,433.0,-3186.0,566.0,412.0
188,292.0,-1574.0,440.0,-3290.0,753.0,416.0
189,204.0,-1706.0,482.0,-3254.0,796.0,385.0
190,160.0,-1752.0,580.0,-3083.0,738.0,323.0
191,164.0,-1747.0,710.0,-2848.0,640.0,228.0
192,215.0,-1729.0,857.0,-2587.0,548.0,109.0
193,211.0,-1672.0,1034.0,-2253.0,514.0,-40.0
194,-91.0,-145.0,618.0,3007.0,-945.0,36.0
195,16.0,-976.0,224.0,236.0,74.0,-149.0
196,35.0,-960.0,232.0,233.0,58.0,-152.0
197,32.0,-958.0,236.0,208.0,66.0,-153.0
198,29.0,-970.0,230.0,176.0,83.0,-163.0
199,33.0,-982.0,221.0,150.0,102.0,-174.0
200,26.0,-971.0,228.0,145.0,120.0,-179.0
201,19.0,-981.0,230.0,127.0,135.0,-189.0
202,43.0,-998.0,217.0,108.0,138.0,-205.0
203,67.0,-972.0,229.0,124.0,146.0,-205.0
204,67.0,-974.0,230.0,120.0,174.0,-190.0
205,65.0,-970.0,231.0,117.0,197.0,-178.0
206,8.0,-1001.0,257.0,168.0,280.0,-60.0
